AI Timeline event,AI Timeline date,AA most likely model,AA most likely release date,Confidence 1-10,Candidate 1 time mismatch,AA second likely model,AA second release date,Confidence 2 1-10,Candidate 2 time mismatch,match_level,entity_name
"QwQ 32B Preview — Alibaba released its new model, QwQ 32B Preview , which integrates reasoning capabilities before responding. The model competes with, and sometimes surpasses, OpenAI's o1-preview model.",2024 November,QwQ 32B-Preview (Alibaba),2024-11-27,10.0,,QwQ 32B (Alibaba),2025-03-05,8.5,,exact_or_near_exact,QwQ 32B Preview
"Qwen2.5 Coder 32B — Alibaba opensourced the model Qwen2.5 Coder 32B , which offers comparable capabilities to leading proprietary language models in the coding domain.",2024 November,Qwen2.5 Coder Instruct 32B (Alibaba),2024-11-11,9.9,,Qwen2.5 Instruct 32B (Alibaba),2024-09-19,8.3,,exact_or_near_exact,Qwen2.5 Coder 32B
"DeepSeek-R1-Lite-Preview — DeepSeek unveiled its new AI model, DeepSeek-R1-Lite-Preview , which incorporates reasoning capabilities and delivers impressive performance on the AIME and MATH benchmarks, matching the level of OpenAI's o1-preview.",2024 November,DeepSeek R1 (Jan '25),2025-01-20,9.3,,DeepSeek R1 0528 (May '25),2025-05-28,8.5,,exact_or_near_exact,DeepSeek-R1-Lite-Preview
"v4 — Suno upgraded its AIpowered music generator to v4 , introducing new features and performance improvements.",2024 November,Suno V4.5,,6.0,,Suno V4.5,,6.0,,exact_or_near_exact,v4
"Pixtral Large — Mistral AI launched the Pixtral Large model, a multimodal language model excelling in image recognition and advanced performance metrics, and an update to Mistral Large, 2411.",2024 November,Pixtral Large (Mistral),2024-11-18,10.0,,Mistral Large 2 (Nov '24),2024-11-18,9.0,,exact_or_near_exact,Pixtral Large
"gemini-exp-1114 — Google introduced two experimental models, gemini-exp-1114 and gemini-exp-1121 , currently leading the arena chatbot with enhanced performance.",2024 November,Gemini 1.5 Pro (Sep '24) (Google),2024-09-24,6.0,,Gemini 1.5 Pro (May '24) (Google),2024-05-15,6.0,,low,gemini-exp-1114
"gemini-exp-1121 — Google introduced two experimental models, gemini-exp-1114 and gemini-exp-1121 , currently leading the arena chatbot with enhanced performance.",2024 November,Gemini 1.5 Pro (Sep '24) (Google),2024-09-24,6.0,,Gemini 1.5 Pro (May '24) (Google),2024-05-15,6.0,,low,gemini-exp-1121
Claude 3.5 Haiku — Anthropic launches Claude 3.5 Haiku and Visual PDF Analysis in Claude.,2024 November,Claude 3.5 Haiku (Anthropic),2024-10-22,10.0,,Claude 3.5 Sonnet (Oct '24) (Anthropic),2024-10-22,8.8,,exact_or_near_exact,Claude 3.5 Haiku
"NOVA — Amazon introduced a new series of models called NOVA , designed for text, image, and video processing.",2024 December,Nova Micro (Amazon),2024-12-03,9.9,,Nova 2.0 Lite (Non-reasoning) (Amazon),2025-10-29,7.2,,exact_or_near_exact,NOVA
"SORA — OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o .",2024 December,Sora (OpenAI),2024-12,10.0,,Sora (OpenAI),2024-12,10.0,,exact_or_near_exact,SORA
"o1 — OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o .",2024 December,o1 (OpenAI),2024-12-05,10.0,,o1-preview (OpenAI),2024-09-12,9.3,,exact_or_near_exact,o1
"o1 Pro — OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o .",2024 December,o1 (OpenAI),2024-12-05,9.9,,o1-pro (OpenAI),2025-03-19,9.4,,exact_or_near_exact,o1 Pro
"GPT 4o — OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o .",2024 December,GPT-4o (Nov '24) (OpenAI),2024-11-20,10.0,,"GPT-4o (March 2025, chatgpt-4o-latest) (OpenAI)",2025-03-27,9.4,,exact_or_near_exact,GPT 4o
"Gemini-Exp-1206 — Google unveiled the experimental model Gemini-Exp-1206 , which ranked first in the chatbot leaderboard.",2024 December,Gemini 2.5 Pro (Google),2025-06-05,6.0,,Gemini 1.5 Pro (Sep '24) (Google),2024-09-24,6.0,,low,Gemini-Exp-1206
"Gemini 2.0 Flash — Google launched Gemini 2.0 Flash in beta. This model leads benchmarks and outperforms the previous version, Gemini Pro 1.5 . Additionally, Google introduced live speech and video mode and announced built-in image generation capabilities within the model.",2024 December,Gemini 2.0 Flash (experimental) (Google),2024-12-11,10.0,,Gemini 2.0 Flash Experimental (Google),2024-12-11,10.0,,exact_or_near_exact,Gemini 2.0 Flash
"Gemini Pro 1.5 — Google launched Gemini 2.0 Flash in beta. This model leads benchmarks and outperforms the previous version, Gemini Pro 1.5 . Additionally, Google introduced live speech and video mode and announced built-in image generation capabilities within the model.",2024 December,Gemini 1.5 Pro (Sep '24) (Google),2024-09-24,9.4,,Gemini 2.5 Pro (Google),2025-06-05,8.6,,exact_or_near_exact,Gemini Pro 1.5
"Gemini-2.0-Flash-Thinking — Google revealed Gemini-2.0-Flash-Thinking , a thinking model based on Gemini 2.0 Flash , which secured second place in the chatbot leaderboard.",2024 December,Gemini 2.0 Flash (experimental) (Google),2024-12-11,9.9,,Gemini 2.0 Flash Thinking Experimental (Jan '25) (Google),2025-01-21,9.9,,exact_or_near_exact,Gemini-2.0-Flash-Thinking
"Gemini 2.0 Flash — Google revealed Gemini-2.0-Flash-Thinking , a thinking model based on Gemini 2.0 Flash , which secured second place in the chatbot leaderboard.",2024 December,Gemini 2.0 Flash (experimental) (Google),2024-12-11,10.0,,Gemini 2.0 Flash (Feb '25) (Google),2025-02-05,9.4,,exact_or_near_exact,Gemini 2.0 Flash
"Veo 2 — Google introduced Veo 2 , a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3 , offering enhanced image quality and realism.",2024 December,Veo 2 (Google),2024-12,10.0,,Veo 2 (Google),2024-12,10.0,,exact_or_near_exact,Veo 2
"SORA — Google introduced Veo 2 , a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3 , offering enhanced image quality and realism.",2024 December,Sora (OpenAI),2024-12,10.0,,Sora (OpenAI),2024-12,10.0,,exact_or_near_exact,SORA
"Imagen 3 — Google introduced Veo 2 , a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3 , offering enhanced image quality and realism.",2024 December,Imagen 3 (v002) (Google),2024-12,10.0,,Image-01 (MiniMax),2025-02,8.4,,exact_or_near_exact,Imagen 3
"Aurora — xAI integrated Aurora , a new model for generating high-quality and realistic images.",2024 December,Grok Beta (xAI),2024-08-13,6.0,,Grok 3 (xAI),2025-02-19,6.0,,low,Aurora
"Phi4 — Microsoft open-sourced the Phi4 model, sized at 14B, showcasing impressive capabilities for its size.",2024 December,Phi-4 (Microsoft),2024-12-12,10.0,,Phi-4 Mini Instruct (Microsoft),2024-02-26,5.9,,exact_or_near_exact,Phi4
"Llama 3.3 70B — Meta released Llama 3.3 70B , a model offering performance comparable to Llama 3.1 405B .",2024 December,Llama 3.3 Instruct 70B (Meta),2024-12-06,9.5,,Llama 3.1 Instruct 70B (Meta),2024-07-23,7.5,,high,Llama 3.3 70B
"Llama 3.1 405B — Meta released Llama 3.3 70B , a model offering performance comparable to Llama 3.1 405B .",2024 December,Llama 3.1 Tulu3 405B (Allen Institute for AI),2025-01-30,9.3,,Llama 3.1 Instruct 405B (Meta),2024-07-23,8.4,,high,Llama 3.1 405B
"PaliGemma 2 — Google launched a multi-modal open-source model called PaliGemma 2 , integrated with existing Gemma models.",2024 December,Gemma 3 270M (Google),2025-08-14,6.6,,PALM-2 (Google),2023-05-10,6.3,yes,high,PaliGemma 2
"Gemma — Google launched a multi-modal open-source model called PaliGemma 2 , integrated with existing Gemma models.",2024 December,Gemma 4 26B A4B (Reasoning) (Google),2026-04-02,6.3,yes,Gemma 4 26B A4B (Non-reasoning) (Google),2026-04-02,6.3,yes,exact_or_near_exact,Gemma
"2.0 — Pika Labs released 2.0 , the latest version of its AI-powered video generator.",2024 December,Pika 2.0 (Pika Art),2024-12,10.0,,Kling 2.0 (KlingAI),2025-04,8.4,,exact_or_near_exact,2.0
"Apollo — Meta introduced Apollo , a video generation model available in three different sizes.",2024 December,Llama 4 Scout (Meta),2025-04-05,6.0,,Llama 65B (Meta),2023-02-24,4.6,yes,low,Apollo
"Deepseek V3 — Deepseek open-sourced Deepseek V3 , a model with 671B parameters that surpasses closed-source SOTA models across several benchmarks.",2024 December,DeepSeek V3 (Dec '24),2024-12-26,10.0,,DeepSeek V3 0324,2025-03-25,9.3,,exact_or_near_exact,Deepseek V3
"QVQ-72B-Preview — Alibaba unveiled QVQ-72B-Preview , a cutting-edge thinking model capable of analyzing images, featuring SOTA-level performance.",2024 December,QwQ 32B-Preview (Alibaba),2024-11-27,9.5,,Wan 2.5 Preview (Alibaba),2025-09,6.0,,high,QVQ-72B-Preview
"o3 — OpenAI announced o3 , a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini , is expected in January 2025, with performance similar to o1 , alongside improved speed and efficiency.",2024 December,o3-mini (high) (OpenAI),2025-01-31,9.9,,o3-mini (OpenAI),2025-01-31,9.9,,exact_or_near_exact,o3
"o3 Mini — OpenAI announced o3 , a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini , is expected in January 2025, with performance similar to o1 , alongside improved speed and efficiency.",2024 December,o3-mini (high) (OpenAI),2025-01-31,10.0,,o3-mini (OpenAI),2025-01-31,10.0,,exact_or_near_exact,o3 Mini
"o1 — OpenAI announced o3 , a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini , is expected in January 2025, with performance similar to o1 , alongside improved speed and efficiency.",2024 December,o1 (OpenAI),2024-12-05,10.0,,o1-preview (OpenAI),2024-09-12,9.3,,exact_or_near_exact,o1
"Kling 1.6 — The video generation model Kling 1.6 was released, offering significant performance enhancements.",2024 December,Kling 1.6 Standard (KlingAI),2024-12,9.8,,Kling 1.6 Pro (KlingAI),2024-12,9.8,,exact_or_near_exact,Kling 1.6
"Gemini Flash Thinking 0121 — Google introduced Gemini Flash Thinking 0121 , an enhanced reasoning model that secured the top spot in the Arena Chatbots rankings.",2025 January,Gemini 2.0 Flash Thinking Experimental (Jan '25) (Google),2025-01-21,9.5,,Gemini 2.0 Flash Thinking Experimental (Dec '24) (Google),2024-12-19,9.5,,high,Gemini Flash Thinking 0121
"R1 — DeepSeek open-sourced the reasoning models R1 and R1-Zero , which demonstrated capabilities similar to o1 across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size.",2025 January,DeepSeek R1 (Jan '25),2025-01-20,10.0,,DeepSeek R1 Distill Qwen 32B,2025-01-20,9.9,,exact_or_near_exact,R1
"R1-Zero — DeepSeek open-sourced the reasoning models R1 and R1-Zero , which demonstrated capabilities similar to o1 across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size.",2025 January,DeepSeek R1 (Jan '25),2025-01-20,9.9,,DeepSeek R1 0528 (May '25),2025-05-28,8.5,,exact_or_near_exact,R1-Zero
"o1 — DeepSeek open-sourced the reasoning models R1 and R1-Zero , which demonstrated capabilities similar to o1 across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size.",2025 January,o1 (OpenAI),2024-12-05,10.0,,DeepSeek R1 (Jan '25),2025-01-20,9.8,,exact_or_near_exact,o1
"Titans — Google published a research paper on a new language model architecture called Titans , designed to enable models to retain both short- and long-term memory. This architecture significantly improves processing for extended context windows.",2025 January,Imagen 3 (v002) (Google),2024-12,6.0,,Standard (Google),,5.0,,medium,Titans
"Janus Pro 7B — DeepSeek open-sourced a fully multimodal model, Janus Pro 7B , which supports both text and image generation.",2025 January,Janus Pro (DeepSeek),2025-01,10.0,,FLUX.2 [pro] (Black Forest Labs),2025-11,4.5,,exact_or_near_exact,Janus Pro 7B
"Qwen2.5-Max — Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",2025 January,Qwen2.5 Max (Alibaba),2025-01-28,10.0,,Qwen3 Max (Alibaba),2025-09-23,6.5,,exact_or_near_exact,Qwen2.5-Max
"DeepSeek-V3 — Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",2025 January,DeepSeek V3 (Dec '24),2024-12-26,10.0,,DeepSeek V3 0324,2025-03-25,9.3,,exact_or_near_exact,DeepSeek-V3
"GPT-4o — Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",2025 January,GPT-4o (ChatGPT) (OpenAI),2025-02-15,10.0,,GPT-4o (Nov '24) (OpenAI),2024-11-20,9.4,,exact_or_near_exact,GPT-4o
"Claude 3.5 — Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",2025 January,Claude 3.5 Sonnet (Oct '24) (Anthropic),2024-10-22,8.9,,Claude 3.5 Haiku (Anthropic),2024-10-22,8.9,,high,Claude 3.5
"Qwen2.5-1M — Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",2025 January,Qwen2.5 Max (Alibaba),2025-01-28,9.1,,Qwen3.5 2B (Reasoning) (Alibaba),2026-03-02,5.1,yes,medium,Qwen2.5-1M
"Qwen2.5-VL — Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",2025 January,Qwen2.5 Max (Alibaba),2025-01-28,8.5,,Qwen3 VL 4B (Reasoning) (Alibaba),2025-10-14,6.2,,medium,Qwen2.5-VL
"o3 mini — OpenAI made the o3 mini reasoning model available to all users, including the free tier, featuring three reasoning levels. The model matches or comes close to o1 in several benchmarks, significantly surpasses it in coding, and remains significantly faster and more cost-efficient.",2025 January,o3-mini (high) (OpenAI),2025-01-31,10.0,,o3-mini (OpenAI),2025-01-31,10.0,,exact_or_near_exact,o3 mini
"Grok 3 — xAI launches Grok 3 , Grok 3 Reasoning and Grok 3 mini , next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as DeepSearch for autonomous web searches.",2025 February 2025,Grok 3 (xAI),2025-02-19,10.0,,Grok 3 mini Reasoning (high) (xAI),2025-02-19,9.9,,exact_or_near_exact,Grok 3
"Grok 3 Reasoning — xAI launches Grok 3 , Grok 3 Reasoning and Grok 3 mini , next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as DeepSearch for autonomous web searches.",2025 February 2025,Grok 3 Reasoning Beta (xAI),2025-02-19,10.0,,Grok 3 (xAI),2025-02-19,9.9,,exact_or_near_exact,Grok 3 Reasoning
"Grok 3 mini — xAI launches Grok 3 , Grok 3 Reasoning and Grok 3 mini , next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as DeepSearch for autonomous web searches.",2025 February 2025,Grok 3 mini Reasoning (high) (xAI),2025-02-19,9.9,,Grok 3 (xAI),2025-02-19,9.9,,exact_or_near_exact,Grok 3 mini
"Claude 3.7 — Anthropic introduces Claude 3.7 and Claude 3.7 Thinking , a new model with enhanced coding performance, support for ""Extended Thinking"" mode, and the ability to analyze reasoning processes.",2025 February 2025,Claude 3.7 Sonnet (Reasoning) (Anthropic),2025-02-24,9.9,,Claude 3.7 Sonnet (Non-reasoning) (Anthropic),2025-02-24,9.9,,exact_or_near_exact,Claude 3.7
"Claude 3.7 Thinking — Anthropic introduces Claude 3.7 and Claude 3.7 Thinking , a new model with enhanced coding performance, support for ""Extended Thinking"" mode, and the ability to analyze reasoning processes.",2025 February 2025,Claude 3.7 Sonnet (Reasoning) (Anthropic),2025-02-24,9.7,,Claude 4 Opus (Reasoning) (Anthropic),2025-05-22,8.7,,high,Claude 3.7 Thinking
"Gemini 2.0 Flash — Google releases Gemini 2.0 Flash , Gemini 2.0 Flash-Lite Preview , and Gemini 2.0 Pro Experimental .",2025 February 2025,Gemini 2.0 Flash (Feb '25) (Google),2025-02-05,10.0,,Gemini 2.0 Flash-Lite (Preview) (Google),2025-02-05,9.9,,exact_or_near_exact,Gemini 2.0 Flash
"Gemini 2.0 Flash-Lite Preview — Google releases Gemini 2.0 Flash , Gemini 2.0 Flash-Lite Preview , and Gemini 2.0 Pro Experimental .",2025 February 2025,Gemini 2.0 Flash-Lite (Preview) (Google),2025-02-05,10.0,,Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning) (Google),2025-09-08,7.2,,exact_or_near_exact,Gemini 2.0 Flash-Lite Preview
"Gemini 2.0 Pro Experimental — Google releases Gemini 2.0 Flash , Gemini 2.0 Flash-Lite Preview , and Gemini 2.0 Pro Experimental .",2025 February 2025,Gemini 2.0 Pro Experimental (Feb '25) (Google),2025-02-05,10.0,,Gemini 2.0 Flash (experimental) (Google),2024-12-11,8.9,,exact_or_near_exact,Gemini 2.0 Pro Experimental
"QwQ-Max — Alibaba launches QwQ-Max – a reasoning model based on Qwen2.5-Max, offering improved analytical and logical capabilities.",2025 February 2025,Qwen2.5 Max (Alibaba),2025-01-28,9.3,,QwQ 32B (Alibaba),2025-03-05,9.1,,high,QwQ-Max
"Phi4-mini — Microsoft presents Phi4-mini and Phi4 Multimodal , lightweight models (3.8B and 5.6B) with enhanced performance, including support for multimodal inputs.",2025 February 2025,Phi-4 (Microsoft),2024-12-12,8.7,,o4-mini (high) (OpenAI),2025-04-16,7.9,,exact_or_near_exact,Phi4-mini
"Phi4 Multimodal — Microsoft presents Phi4-mini and Phi4 Multimodal , lightweight models (3.8B and 5.6B) with enhanced performance, including support for multimodal inputs.",2025 February 2025,Phi-4 Multimodal Instruct (Microsoft),2025-02-26,10.0,,Phi-4 (Microsoft),2024-12-12,7.9,,exact_or_near_exact,Phi4 Multimodal
"GPT-4.5 — OpenAI releases GPT-4.5 , featuring advanced pattern recognition and significantly reduced hallucinations, improving accuracy and reliability.",2025 February 2025,GPT-4.5 (Preview) (OpenAI),2025-02-27,10.0,,GPT-5.4 (Non-reasoning) (OpenAI),2026-03-05,6.3,yes,exact_or_near_exact,GPT-4.5
"Gemini 2.5 Pro — Google introduced Gemini 2.5 Pro , an experimental ""Thinking model"" with advanced reasoning and planning capabilities, a 1 million token context window, achieving top rankings across several key benchmarks.",2025 March 2025,Gemini 2.5 Pro Preview (Mar' 25) (Google),2025-03-25,9.9,,Gemini 2.5 Pro (Google),2025-06-05,9.4,,exact_or_near_exact,Gemini 2.5 Pro
"GPT-4o Image Generation — OpenAI integrated GPT-4o Image Generation , enabling high-fidelity text-to-image creation, text rendering within images, and more.",2025 March 2025,"GPT-4o (March 2025, chatgpt-4o-latest) (OpenAI)",2025-03-27,9.9,,GPT-4o (Nov '24) (OpenAI),2024-11-20,8.5,,exact_or_near_exact,GPT-4o Image Generation
"Gemini 2.0 Flash Experimental — Google expanded experimental image generation and editing within Gemini 2.0 Flash Experimental , enabling image generation and editing, including enhanced text creation capabilities.",2025 March 2025,Gemini 2.0 Flash (Feb '25) (Google),2025-02-05,9.9,,Gemini 2.0 Flash (experimental) (Google),2024-12-11,9.4,,exact_or_near_exact,Gemini 2.0 Flash Experimental
"QwQ-32B — Alibaba released QwQ-32B , an open-source 32B parameter reasoning model with exceptional math and coding performance, rivaling much larger models.",2025 March 2025,QwQ 32B (Alibaba),2025-03-05,10.0,,Qwen3 32B (Non-reasoning) (Alibaba),2025-04-28,8.8,,exact_or_near_exact,QwQ-32B
"Qwen2.5-VL 32B — Alibaba released the Qwen2.5-VL 32B , open-source vision-language model with robust capabilities in visual analysis, text-in-image understanding, and visual agent tasks.",2025 March 2025,Qwen2.5 Instruct 32B (Alibaba),2024-09-19,7.5,,Qwen3 VL 32B (Reasoning) (Alibaba),2025-10-21,7.1,,high,Qwen2.5-VL 32B
"DeepSeek-V3-0324 — DeepSeek updated its open-source MoE model with DeepSeek-V3-0324 , featuring enhanced reasoning, coding, and math capabilities, positioning it as a top-tier base model.",2025 March 2025,DeepSeek V3 0324,2025-03-25,10.0,,DeepSeek V3 (Dec '24),2024-12-26,9.3,,exact_or_near_exact,DeepSeek-V3-0324
"Conversational Speech Model (CSM) — Sesame AI unveiled its Conversational Speech Model (CSM) , enabling remarkably human-like, real-time voice interaction, incorporating emotional nuances, natural pauses, laughter, and contextual memory.",2025 March 2025,Fish Speech 1.5 (Fish Audio),,4.5,,"LLM Speech, Azure (Microsoft)",,4.5,,unmatched,Conversational Speech Model (CSM)
Llama 4 — Meta releases Llama 4 in three sizes with a context window of 10 million tokens and medium performance.,2025 April 2025,Llama 4 Maverick (Meta),2025-04-05,9.9,,Llama 4 Scout (Meta),2025-04-05,9.9,,exact_or_near_exact,Llama 4
"Gemini 2.5 Flash — Google launches Gemini 2.5 Flash , with a dynamic reasoning mode that allows tuning the reasoning level or disabling it as needed.",2025 April 2025,Gemini 2.5 Flash (Non-reasoning) (Google),2025-05-20,10.0,,Gemini 2.5 Flash (Reasoning) (Google),2025-05-20,10.0,,exact_or_near_exact,Gemini 2.5 Flash
"GPT-4.1 — OpenAI releases GPT-4.1 in three sizes, with a context window of 1 million tokens.",2025 April 2025,GPT-4.1 (OpenAI),2025-04-14,10.0,,GPT-4.1 nano (OpenAI),2025-04-14,9.9,,exact_or_near_exact,GPT-4.1
"o3 full — OpenAI introduces o3 full and o4 mini , highly advanced models for reasoning, math, and coding.",2025 April 2025,o3 (OpenAI),2025-04-16,9.9,,o3-pro (OpenAI),2025-06-10,8.2,,exact_or_near_exact,o3 full
"o4 mini — OpenAI introduces o3 full and o4 mini , highly advanced models for reasoning, math, and coding.",2025 April 2025,o4-mini (high) (OpenAI),2025-04-16,10.0,,o3-mini (OpenAI),2025-01-31,9.4,,exact_or_near_exact,o4 mini
"v7 — Midjourney launches v7 , with higher image quality and more precise control over style.",2025 April 2025,Midjourney v7 Alpha,2025-04,10.0,,Midjourney V1,2025-06,9.3,,exact_or_near_exact,v7
"Veo 2.0 — A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style.",2025 April 2025,Veo 2 (Google),2024-12,8.7,,Veo 2 (Google),2024-12,8.5,,exact_or_near_exact,Veo 2.0
"Runway Gen-4 — A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style.",2025 April 2025,Runway Gen 4,2025-03,10.0,,Runway Gen-4 Image,2024-11,8.2,,exact_or_near_exact,Runway Gen-4
"Vidu Q1 — A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style.",2025 April 2025,Vidu Q1,2025-04,10.0,,Vidu Q1,2025-04,10.0,,exact_or_near_exact,Vidu Q1
"Kling 2.0 — A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style.",2025 April 2025,Kling 2.0 (KlingAI),2025-04,10.0,,Kling 2.0 (KlingAI),2025-04,10.0,,exact_or_near_exact,Kling 2.0
"Qwen 3 — Alibaba releases Qwen 3 as open source, in various sizes, with very impressive capabilities for their size.",2025 April 2025,DeepSeek R1 Distill Qwen 32B,2025-01-20,8.9,,Qwen3 Max (Alibaba),2025-09-23,8.0,,exact_or_near_exact,Qwen 3
"Phi-4 reasoning — Microsoft launches the Phi-4 reasoning series as open source, small yet high-quality models that incorporate reasoning.",2025 May 2025,Phi-4 (Microsoft),2024-12-12,8.5,,GLM-4.5 (Reasoning) (Z AI),2025-07-28,7.9,,exact_or_near_exact,Phi-4 reasoning
"Suno 4.5 — Suno releases Suno 4.5 , fixing shimmer noise and improving audio decay stability in long tracks.",2025 May 2025,Suno V4.5,,6.0,,Suno V4.5,,6.0,,exact_or_near_exact,Suno 4.5
"Claude 4 Opus — Anthropic releases Claude 4 Opus and Claude Sonnet 4 : Opus 4 offers a Hybrid ""Deep Thought"" mode with enhanced long-term context and 7-hour autonomous operation; Sonnet 4 focuses on improved math and coding performance.",2025 May 2025,Claude 4 Opus (Reasoning) (Anthropic),2025-05-22,10.0,,Claude 4 Opus (Non-reasoning) (Anthropic),2025-05-22,10.0,,exact_or_near_exact,Claude 4 Opus
"Claude Sonnet 4 — Anthropic releases Claude 4 Opus and Claude Sonnet 4 : Opus 4 offers a Hybrid ""Deep Thought"" mode with enhanced long-term context and 7-hour autonomous operation; Sonnet 4 focuses on improved math and coding performance.",2025 May 2025,Claude 4 Sonnet (Non-reasoning) (Anthropic),2025-05-22,10.0,,Claude 4 Sonnet (Reasoning) (Anthropic),2025-05-22,10.0,,exact_or_near_exact,Claude Sonnet 4
"Veo 3 — Google releases Veo 3 , a video generation model for synchronized 4K video with natural audio integration, and Imagen 4 , an advanced image model with deeper contextual understanding and artistic style support.",2025 May 2025,Veo 3 (Google),2025-07,9.4,,Veo 3 (Google),2025-07,9.4,,exact_or_near_exact,Veo 3
"Imagen 4 — Google releases Veo 3 , a video generation model for synchronized 4K video with natural audio integration, and Imagen 4 , an advanced image model with deeper contextual understanding and artistic style support.",2025 May 2025,Imagen 4 Ultra Preview 0606 (Google),2025-06,10.0,,Imagen 4 Ultra (Google),2025-06,10.0,,exact_or_near_exact,Imagen 4
"Gemini 2.5 Pro — Google releases Gemini 2.5 Pro (Deep Think Mode) and Gemini 2.5 Flash , featuring improved reasoning, native audio support, extended context, and high-frequency task handling.",2025 May 2025,Gemini 2.5 Pro (Google),2025-06-05,10.0,,Gemini 2.5 Pro Preview (Mar' 25) (Google),2025-03-25,9.3,,exact_or_near_exact,Gemini 2.5 Pro
"Gemini 2.5 Flash — Google releases Gemini 2.5 Pro (Deep Think Mode) and Gemini 2.5 Flash , featuring improved reasoning, native audio support, extended context, and high-frequency task handling.",2025 May 2025,Gemini 2.5 Flash (Non-reasoning) (Google),2025-05-20,10.0,,Gemini 2.5 Flash (Reasoning) (Google),2025-05-20,10.0,,exact_or_near_exact,Gemini 2.5 Flash
