event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text,official_date,official_date_all,official_date_month_candidates,date_status,date_confidence,date_source_urls,date_source_titles,date_source_types,date_notes
AIT-2025-01-002,2025,January,Gemini Flash Thinking 0121,Gemini 2.0 Flash Thinking Experimental (Jan '25),2025-01-21,Google,1,"Google introduced Gemini Flash Thinking 0121 , an enhanced reasoning model that secured the top spot in the Arena Chatbots rankings.",2025-01-21,2025-01-21,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,Release notes list gemini-2.0-flash-thinking-exp-01-21.
AIT-2025-01-003,2025,January,R1,DeepSeek R1 (Jan '25),2025-01-20,DeepSeek,1,"DeepSeek open-sourced the reasoning models R1 and R1-Zero , which demonstrated capabilities similar to o1 across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size.",2025-01-20,2025-01-20,,day_resolved,high,https://api-docs.deepseek.com/news/news250120,DeepSeek-R1 Release,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2025-01-005,2025,January,Janus Pro 7B,Janus Pro,2025-01,DeepSeek,1,"DeepSeek open-sourced a fully multimodal model, Janus Pro 7B , which supports both text and image generation.",2025-01-27,2025-01-27,,day_resolved,high,https://github.com/deepseek-ai/Janus,Janus-Series: Unified Multimodal Understanding and Generation Models,official_github_repository,Official DeepSeek GitHub repository news says Janus-Pro was released on 2025.01.27.
AIT-2025-01-006,2025,January,Qwen2.5-Max,Qwen2.5 Max,2025-01-28,Alibaba,1,"Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",2025-01-28,2025-01-28,,day_resolved,high,https://qwenlm.github.io/blog/qwen2.5-max/,Qwen2.5-Max: Exploring the Intelligence of Large-scale MoE Model,official_technical_blog,Official Qwen blog date.
AIT-2025-01-007,2025,January,o3 mini,o3-mini (high),2025-01-31,OpenAI,1,"OpenAI made the o3 mini reasoning model available to all users, including the free tier, featuring three reasoning levels. The model matches or comes close to o1 in several benchmarks, significantly surpasses it in coding, and remains significantly faster and more cost-efficient.",2025-01-31,2025-01-31,,day_resolved,high,https://openai.com/index/openai-o3-mini/,OpenAI o3-mini,official product/research announcement,"OpenAI page is dated January 31, 2025 and says o3-mini is available in ChatGPT and API today."
AIT-2025-02-001,2025,February 2025,Grok 3; Grok 3 Reasoning; Grok 3 mini,Grok 3; Grok 3 Reasoning Beta; Grok 3 mini Reasoning (high),2025-02-19; 2025-02-19; 2025-02-19,xAI,3,"xAI launches Grok 3 , Grok 3 Reasoning and Grok 3 mini , next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as DeepSearch for autonomous web searches.",2025-02-19,2025-02-19,,day_resolved,high,https://x.ai/news/grok-3,Grok 3 Beta — The Age of Reasoning Agents,official technical blog,xAI blog introduces Grok 3 and Grok 3 mini reasoning.
AIT-2025-02-002,2025,February 2025,Claude 3.7,Claude 3.7 Sonnet (Reasoning),2025-02-24,Anthropic,1,"Anthropic introduces Claude 3.7 and Claude 3.7 Thinking , a new model with enhanced coding performance, support for ""Extended Thinking"" mode, and the ability to analyze reasoning processes.",2025-02-24,2025-02-24,,day_resolved,high,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,official_news,Anthropic News page directly announces Claude 3.7 Sonnet.
AIT-2025-02-004,2025,February 2025,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,Gemini 2.0 Flash (Feb '25); Gemini 2.0 Flash-Lite (Preview); Gemini 2.0 Pro Experimental (Feb '25),2025-02-05; 2025-02-05; 2025-02-05,Google,3,"Google releases Gemini 2.0 Flash , Gemini 2.0 Flash-Lite Preview , and Gemini 2.0 Pro Experimental .",2025-02-05,2025-02-05,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,"Release notes list gemini-2.0-flash-001, gemini-2.0-pro-exp-02-05 and gemini-2.0-flash-lite-preview-02-05."
AIT-2025-02-006,2025,February 2025,Phi4-mini; Phi4 Multimodal,Phi-4 Mini Instruct; Phi-4 Multimodal Instruct,2024-02-26; 2025-02-26,Microsoft,2,"Microsoft presents Phi4-mini and Phi4 Multimodal , lightweight models (3.8B and 5.6B) with enhanced performance, including support for multimodal inputs.",2025-02-26,2025-02-26,,day_resolved,high,https://azure.microsoft.com/en-us/blog/empowering-innovation-the-next-generation-of-the-phi-family/,Empowering innovation: The next generation of the Phi family,official_blog,"Microsoft Azure Blog states February 26, 2025 and announces Phi-4-mini and Phi-4-multimodal. This corrects the AA-side 2024-02-26 typo for Phi-4 Mini."
AIT-2025-02-007,2025,February 2025,GPT-4.5,GPT-4.5 (Preview),2025-02-27,OpenAI,1,"OpenAI releases GPT-4.5 , featuring advanced pattern recognition and significantly reduced hallucinations, improving accuracy and reliability.",2025-02-27,2025-02-27,,day_resolved,high,https://openai.com/index/introducing-gpt-4-5/,Introducing GPT-4.5,official product/research announcement,"OpenAI page is dated February 27, 2025 and announces GPT-4.5 research preview."
AIT-2025-03-001,2025,March 2025,Gemini 2.5 Pro,Gemini 2.5 Pro,2025-06-05,Google,1,"Google introduced Gemini 2.5 Pro , an experimental ""Thinking model"" with advanced reasoning and planning capabilities, a 1 million token context window, achieving top rankings across several key benchmarks.",2025-03-25,2025-03-25,,day_resolved,high,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-thinking-updates-march-2025/,Gemini 2.5: Our most intelligent AI model,Google Blog,Official Gemini 2.5 Pro Experimental announcement; AA record is a later stable release.
AIT-2025-03-003,2025,March 2025,GPT-4o Image Generation,GPT Image 1 (high),2025-04,OpenAI,1,"OpenAI integrated GPT-4o Image Generation , enabling high-fidelity text-to-image creation, text rendering within images, and more.",2025-03-25,2025-03-25,,day_resolved,high,https://openai.com/index/introducing-4o-image-generation/,Introducing 4o Image Generation,official product/release announcement,"OpenAI page is dated March 25, 2025 and announces native image generation in GPT-4o. The API model gpt-image-1 was separately announced on April 23, 2025."
AIT-2025-03-005,2025,March 2025,QwQ-32B,QwQ 32B,2025-03-05,Alibaba,1,"Alibaba released QwQ-32B , an open-source 32B parameter reasoning model with exceptional math and coding performance, rivaling much larger models.",2025-03-06,2025-03-06,,day_resolved,high,https://qwenlm.github.io/blog/qwq-32b/,QwQ-32B: Embracing the Power of Reinforcement Learning,official_technical_blog,Official Qwen blog date differs from AA date by one day.
AIT-2025-03-007,2025,March 2025,DeepSeek-V3-0324,DeepSeek V3 0324,2025-03-25,DeepSeek,1,"DeepSeek updated its open-source MoE model with DeepSeek-V3-0324 , featuring enhanced reasoning, coding, and math capabilities, positioning it as a top-tier base model.",2025-03-25,2025-03-25,,day_resolved,high,https://api-docs.deepseek.com/news/news250325,DeepSeek-V3-0324 Release,official_api_announcement,"DeepSeek API Docs news page carries the release date. Model name encodes 0324, but the official announcement page is dated 2025/03/25."
AIT-2025-04-001,2025,April 2025,Llama 4,Llama 4 Maverick; Llama 4 Scout,2025-04-05; 2025-04-05,Meta,2,Meta releases Llama 4 in three sizes with a context window of 10 million tokens and medium performance.,2025-04-05,2025-04-05,,day_resolved,high,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation,official_blog,"Meta AI blog page states April 5, 2025 and says Llama 4 Scout and Llama 4 Maverick are available for download today."
AIT-2025-04-002,2025,April 2025,Gemini 2.5 Flash,Gemini 2.5 Flash (Reasoning),2025-05-20,Google,1,"Google launches Gemini 2.5 Flash , with a dynamic reasoning mode that allows tuning the reasoning level or disabling it as needed.",2025-04-17,2025-04-17,,day_resolved,high,https://developers.googleblog.com/en/start-building-with-gemini-25-flash/,Start building with Gemini 2.5 Flash,Google Developers Blog,Official developer blog says Gemini 2.5 Flash is rolling out in preview through the Gemini API.
AIT-2025-04-004,2025,April 2025,GPT-4.1,GPT-4.1,2025-04-14,OpenAI,1,"OpenAI releases GPT-4.1 in three sizes, with a context window of 1 million tokens.",2025-04-14,2025-04-14,,day_resolved,high,https://openai.com/index/gpt-4-1/,Introducing GPT-4.1 in the API,official product/research announcement,"OpenAI page is dated April 14, 2025 and launches GPT-4.1, GPT-4.1 mini, and GPT-4.1 nano in the API."
AIT-2025-04-005,2025,April 2025,o3 full; o4 mini,o3; o4-mini (high),2025-04-16; 2025-04-16,OpenAI,2,"OpenAI introduces o3 full and o4 mini , highly advanced models for reasoning, math, and coding.",2025-04-16,2025-04-16,,day_resolved,high,https://openai.com/index/introducing-o3-and-o4-mini/,Introducing OpenAI o3 and o4-mini,official product/research announcement,"OpenAI page is dated April 16, 2025 and announces o3 and o4-mini."
AIT-2025-04-006,2025,April 2025,v7,Midjourney v7 Alpha,2025-04,Midjourney,1,"Midjourney launches v7 , with higher image quality and more precise control over style.",2025-04-03,2025-04-03,,day_resolved,high,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,Version,official documentation,Midjourney documentation states V7 was released on 2025-04-03.
AIT-2025-04-007,2025,April 2025,Runway Gen-4; Vidu Q1; Kling 2.0,Runway Gen 4; Vidu Q1; Kling 2.0,2025-03; 2025-04; 2025-04,KlingAI; Runway; Vidu,3,"A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style.",2025-03-31,2025-03-31,,day_resolved,medium,https://runwayml.com/research/introducing-runway-gen-4,Runway Gen-4: AI Video Generation with World Consistency; Vidu Q1; Kling 2.0,official research page; official source not found,"Official Runway page was retrieved but the captured text did not show a date; public indexes consistently associate the official Gen-4 launch with 2025-03-31. | No accessible first-party technical blog or announcement page was found for Vidu Q1 in this run. | Secondary sources report mid-April 2025 for Kling 2.0, but no accessible first-party announcement page was found."
AIT-2025-04-008,2025,April 2025,Qwen 3,Qwen3 235B A22B (Reasoning); Qwen3 32B (Reasoning); Qwen3 30B A3B (Reasoning),2025-04-28; 2025-04-28; 2025-04-28,Alibaba,3,"Alibaba releases Qwen 3 as open source, in various sizes, with very impressive capabilities for their size.",2025-04-29,2025-04-29,,day_resolved,high,https://qwenlm.github.io/blog/qwen3/,"Qwen3: Think Deeper, Act Faster",official_technical_blog,Official Qwen blog date differs from AA date by one day.
AIT-2025-05-002,2025,May 2025,Suno 4.5,Suno V4.5,,Suno,1,"Suno releases Suno 4.5 , fixing shimmer noise and improving audio decay stability in long tracks.",2025-05-01,2025-05-01,,day_resolved,high,https://suno.com/blog/introducing-v4-5,Introducing v4.5,official product blog,"Suno blog and release notes list Introducing v4.5 on May 1, 2025."
AIT-2025-05-003,2025,May 2025,Claude 4 Opus; Claude Sonnet 4,Claude 4 Opus (Reasoning); Claude 4 Sonnet (Reasoning),2025-05-22; 2025-05-22,Anthropic,2,"Anthropic releases Claude 4 Opus and Claude Sonnet 4 : Opus 4 offers a Hybrid ""Deep Thought"" mode with enhanced long-term context and 7-hour autonomous operation; Sonnet 4 focuses on improved math and coding performance.",2025-05-22,2025-05-22,,day_resolved,high,https://www.anthropic.com/news/claude-4,Introducing Claude 4,official_news,Anthropic News page announces Claude Opus 4 and Claude Sonnet 4 together.
AIT-2025-05-004,2025,May 2025,Veo 3; Imagen 4,Veo 3; Imagen 4 Ultra; Imagen 4 Standard; Imagen 4 Fast,2025-07; 2025-06; 2025-06; 2025-06,Google,4,"Google releases Veo 3 , a video generation model for synchronized 4K video with natural audio integration, and Imagen 4 , an advanced image model with deeper contextual understanding and artistic style support.",2025-05-20,2025-05-20,,day_resolved,high,https://blog.google/innovation-and-ai/products/generative-media-models-io-2025/,Fuel your creativity with new generative media models and tools,Google Blog,Official Google I/O generative media article introduces Veo 3 and Imagen 4.
AIT-2025-05-009,2025,May 2025,R1-0528,DeepSeek R1 0528 (May '25),2025-05-28,DeepSeek,1,"DeepSeek open-sources R1-0528 , a code-and-inference model with near–o4-mini performance and moderate computational needs.",2025-05-28,2025-05-28,,day_resolved,high,https://api-docs.deepseek.com/news/news250528,DeepSeek-R1-0528 Release,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2025-05-012,2025,May 2025,Gemma 3n,Gemma 3n E2B Instruct,2025-06-26,Google,1,"Google introduces Gemma 3n , an open-source generative AI model for on-device use, with an efficient architecture and multi-modal (audio, text, visual) capabilities.",2025-05-20,2025-05-20,,day_resolved,high,https://developers.googleblog.com/en/introducing-gemma-3n/,"Announcing Gemma 3n preview: powerful, efficient, mobile-first AI",Google Developers Blog,Official developer blog announces Gemma 3n preview.
AIT-2025-06-002,2025,June 2025,Eleven v3 (alpha),Eleven v3,,ElevenLabs,1,ElevenLabs rolls out Eleven v3 (alpha) TTS with fine grained emotion control and support for 70+ languages.,2025-06-03,2025-06-03,,day_resolved,high,https://elevenlabs.io/blog/eleven-v3,Introducing Eleven v3 (alpha),official research blog,"Official ElevenLabs blog says Eleven v3 alpha was published Jun 3, 2025 and available that day."
AIT-2025-06-003,2025,June 2025,o3 pro,o3-pro,2025-06-10,OpenAI,1,"OpenAI debuts o3 pro , an enhanced reasoning model offering extended context and real-time tool integrations.",2025-06-10,2025-06-10,,day_resolved,medium,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,ChatGPT Release Notes,official release notes,"OpenAI first-party release notes state that o3-pro became available on June 10, 2025. The o3/o4-mini page also notes this June 10 update."
AIT-2025-07-001,2025,July 2025,Grok 4,Grok 4,2025-07-10,xAI,1,"xAI releases Grok 4 , achieving a new SOTA of 15.9% on ARC-AGI v2 and 25.4% on Humanity’s Last Exam.",2025-07-09,2025-07-09,,day_resolved,high,https://x.ai/news/grok-4,Grok 4,official technical blog,xAI blog says Grok 4 is available now.
AIT-2025-07-005,2025,July 2025,Qwen3-235B-A22B-Instruct-2507; Qwen3-Coder,Qwen3 235B A22B 2507 Instruct; Qwen3 Coder 480B A35B Instruct,2025-07-21; 2025-07-22,Alibaba,2,"Alibaba open-sources two variants, Qwen3-235B-A22B-Instruct-2507 (instruction-tuned) and Qwen3-Coder , for general LLM use and automated code generation.",2025-07-21,2025-07-21; 2025-07-22,,day_resolved,medium,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507; https://qwenlm.github.io/blog/qwen3-coder/,Qwen3-235B-A22B-Instruct-2507; Qwen3-Coder: Agentic Coding in the World,official_model_card; official_technical_blog,Qwen3-Coder date is directly from official Qwen blog. The 2507 Instruct date is from the official Qwen Hugging Face model card and AA release date because no separate dated Qwen blog was found.
AIT-2025-07-006,2025,July 2025,Kimi K2,Kimi K2,2025-07-11,Kimi,1,"Moonshot AI debuts Kimi K2 , a Chinese LLM praised for its open-research focus and robust performance.",2025-07-11,2025-07-11,,day_resolved,high,https://www.kimi.com/en/blog/kimi-k2,Kimi K2: Open Agentic Intelligence,official_research_page,Kimi research index lists Kimi K2 with date 2025/07/11 and links this page.
AIT-2025-07-007,2025,July 2025,GLM-4.5,GLM-4.5 (Reasoning),2025-07-28,Z AI,1,"Chinese startup Zhipu open-sources GLM-4.5 , a 130 B-parameter model tailored for intelligent-agent applications.",2025-07-28,2025-07-28,,day_resolved,medium,https://z.ai/blog/glm-4.5,"GLM-4.5: Reasoning, Coding, and Agentic Abilities",official_blog_js_rendered,"Official Z.ai blog URL and title identified; static read did not expose page date, but official references and first-party model card point to this release."
AIT-2025-08-002,2025,August 2025,Claude Opus 4.1,Claude 4.1 Opus (Reasoning),2025-08-05,Anthropic,1,"Anthropic released Claude Opus 4.1 , an upgrade focused on improving agentic capabilities and real-world coding.",2025-08-05,2025-08-05,,day_resolved,high,https://www.anthropic.com/news/claude-opus-4-1,Claude Opus 4.1,official_news,Anthropic News page directly announces Claude Opus 4.1.
AIT-2025-08-004,2025,August 2025,gpt-oss-120b; gpt-oss-20b,gpt-oss-120b (high); gpt-oss-20B (high),2025-08-05; 2025-08-05,OpenAI,2,"OpenAI released gpt-oss-120b and gpt-oss-20b , a family of open-source models with high reasoning capabilities, optimized to run on accessible hardware.",2025-08-05,2025-08-05,,day_resolved,high,https://openai.com/index/introducing-gpt-oss/,Introducing gpt-oss,official product/research announcement,"OpenAI page is dated August 5, 2025 and releases gpt-oss-120b and gpt-oss-20b."
AIT-2025-08-005,2025,August 2025,GPT-5,GPT-5 (high),2025-08-07,OpenAI,1,"OpenAI launched GPT-5 , the company's next-generation model, with significant improvements in coding and a dynamic ""thinking"" mode to reduce hallucinations.",2025-08-07,2025-08-07,,day_resolved,high,https://openai.com/index/introducing-gpt-5/,Introducing GPT-5,official product/research announcement,"OpenAI page is dated August 7, 2025 and introduces GPT-5."
AIT-2025-08-006,2025,August 2025,DeepSeek V3.1,DeepSeek V3.1 (Reasoning),2025-08-21,DeepSeek,1,"DeepSeek released DeepSeek V3.1 , a hybrid model combining fast and slow ""thinking"" modes to improve performance in agentic tasks and tool use.",2025-08-21,2025-08-21,,day_resolved,high,https://api-docs.deepseek.com/news/news250821,DeepSeek-V3.1 Release,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2025-08-007,2025,August 2025,Gemini 2.5 Flash Image,Nano Banana (Gemini 2.5 Flash Image),2025-08,Google,1,"Google launched a preview of Gemini 2.5 Flash Image (showcased as *nano-banana*), an advanced model for precise image editing, merging, and maintaining character consistency.",2025-08-26,2025-08-26,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,"Release notes list Gemini 2.5 Image Preview, the native image model corresponding to Nano Banana/Gemini 2.5 Flash Image."
AIT-2025-09-001,2025,September 2025,Seedream 4.0,Seedream 4.0,2025-09,ByteDance Seed,1,"ByteDance released Seedream 4.0 , a next-generation image model unifying high-quality text-to-image generation and natural-language image editing.",2025-09-24,2025-09-24,,day_resolved,medium,https://arxiv.org/abs/2509.20427,Seedream 4.0: Toward Next-generation Multimodal Image Generation,first-party technical report,ByteDance Seed product page was retrieved but has no visible date. The first-party technical report date is used; product availability likely preceded the report.
AIT-2025-09-004,2025,September 2025,Suno v5,Suno V5,,Suno,1,"Suno released Suno v5 , an upgrade in music generation with studio-grade fidelity and more natural-sounding vocals.",2025-09-23,2025-09-23,,day_resolved,high,https://suno.com/release-notes,Introducing v5 - the world's best music model,official release notes,"Suno release notes list v5 launch on Sep 23, 2025."
AIT-2025-09-005,2025,September 2025,Qwen-3-Max,Qwen3 Max,2025-09-23,Alibaba,1,"Alibaba unveiled Qwen-3-Max , its flagship model with over a trillion parameters, focusing on long context and agent capabilities.",2025-09-24,2025-09-24,,day_resolved,medium,https://qwen.ai/blog/qwen3-max,Qwen3-Max: Just Scale it,official_blog_js_rendered,Official Qwen new-site page is JS-rendered in static tools. Search/index evidence identifies the official title and 2025-09-24 date; AA date is one day earlier.
AIT-2025-09-006,2025,September 2025,Wan 2.5,Wan 2.5 Preview,2025-09,Alibaba,1,"Wan 2.5 was released, a generative video model focused on multi-shot consistency and character animation.",,,,unresolved,low,,,no_official_source_found,No official Alibaba/Wan technical blog or first-party announcement was found for exact model name Wan 2.5 Preview in targeted searches. | 2026-07-02 三次补漏：二手来源一致指向 2025-09-24（云栖大会）发布 Wan 2.5 Preview，但未找到可访问的一方公告页，按规则不写入。
AIT-2025-09-007,2025,September 2025,Claude Sonnet 4.5,Claude 4.5 Sonnet (Reasoning),2025-09-29,Anthropic,1,"Anthropic announced Claude Sonnet 4.5 , a model optimized for coding, agent construction, and improved reasoning.",2025-09-29,2025-09-29,,day_resolved,high,https://www.anthropic.com/news/claude-sonnet-4-5,Introducing Claude Sonnet 4.5,official_news,Anthropic News page directly announces Claude Sonnet 4.5.
AIT-2025-09-008,2025,September 2025,Sora 2,Sora 2 (October),2025-09,OpenAI,1,"OpenAI released Sora 2 , a flagship video and audio generation model with improved physical modeling and synchronized sound.",2025-09-30,2025-09-30,,day_resolved,high,https://openai.com/index/sora-2/,Sora 2 is here,official product/research announcement,"OpenAI page is dated September 30, 2025 and says Sora 2 is being released. This differs from the AA label that says October."
AIT-2025-09-009,2025,September 2025,DeepSeek-V3.2-Exp,DeepSeek V3.2 Exp (Reasoning),2025-09-29,DeepSeek,1,DeepSeek released DeepSeek-V3.2-Exp,2025-09-29,2025-09-29,,day_resolved,high,https://api-docs.deepseek.com/news/news250929,Introducing DeepSeek-V3.2-Exp,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2025-10-003,2025,October 2025,Claude 4.5 Haiku,Claude 4.5 Haiku (Reasoning),2025-10-15,Anthropic,1,"Anthropic released Claude 4.5 Haiku , a fast, cost-effective model for high-volume, low-latency applications.",2025-10-15,2025-10-15,,day_resolved,high,https://www.anthropic.com/news/claude-haiku-4-5,Introducing Claude Haiku 4.5,official_product,Anthropic first-party product page states Claude Haiku 4.5 is available today.
AIT-2025-11-001,2025,November 2025,Kimi K2 Thinking,Kimi K2 Thinking,2025-11-06,Kimi,1,"Moonshot AI released Kimi K2 Thinking , an open model setting new records in reasoning benchmarks.",2025-11-06,2025-11-06,,day_resolved,high,https://www.kimi.com/en/blog/kimi-k2-thinking,Kimi K2 Thinking,official_research_page,Kimi research index lists Kimi K2 Thinking with date 2025/11/06 and links this page.
AIT-2025-11-002,2025,November 2025,GPT 5.1,GPT-5.1 (high),2025-11-13,OpenAI,1,"OpenAI launched GPT 5.1 , featuring specialized ""Thinking"" and ""Instant"" modes with expanded context.",2025-11-12,2025-11-12,,day_resolved,high,https://openai.com/index/gpt-5-1/,"GPT-5.1: A smarter, more conversational ChatGPT",official product/release announcement,"OpenAI page is dated November 12, 2025 and announces GPT-5.1 Instant and GPT-5.1 Thinking. This differs from the AA date 2025-11-13."
AIT-2025-11-003,2025,November 2025,Grok 4.1,Grok 4.1 Fast (Reasoning),2025-11-19,xAI,1,"xAI released Grok 4.1 , combining high EQ with strong logic to top the LM Arena leaderboard.",2025-11-17,2025-11-17,,day_resolved,high,https://x.ai/news/grok-4-1,Grok 4.1,official technical blog,"Event maps to AA Fast reasoning variant, but blog date is base Grok 4.1 rollout."
AIT-2025-11-004,2025,November 2025,Gemini 3.0,Gemini 3 Pro Preview (high),2025-11-18,Google,1,"Google debuted Gemini 3.0 , a flagship ""thinking"" model that claimed the top spot on major benchmarks.",2025-11-18,2025-11-18,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,"Release notes list the first Gemini 3 series model, gemini-3-pro-preview."
AIT-2025-11-006,2025,November 2025,Nano Banana Pro,Nano Banana Pro (Gemini 3 Pro Image),2025-11,Google,1,"Google released Nano Banana Pro , a superior image generation and editing model based on Gemini 3.",2025-11-20,2025-11-20,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,"Release notes list Gemini 3 Pro Image Preview, the next iteration to Nano Banana."
AIT-2025-11-007,2025,November 2025,Claude Opus 4.5,Claude Opus 4.5 (Reasoning),2025-11-24,Anthropic,1,"Anthropic announced Claude Opus 4.5 , delivering elite coding and agentic performance at a significantly reduced price.",2025-11-24,2025-11-24,,day_resolved,high,https://www.anthropic.com/news/claude-opus-4-5,Introducing Claude Opus 4.5,official_news,Anthropic News page directly announces Claude Opus 4.5.
AIT-2025-11-008,2025,November 2025,FLUX 2,FLUX.2 [pro]; FLUX.2 [flex]; FLUX.2 [dev],2025-11; 2025-11; 2025-11,Black Forest Labs,3,"Black Forest Labs launched FLUX 2 , a high-performance open-weight image generation model.",2025-11-25,2025-11-25,,day_resolved,medium,https://bfl.ai/models/flux-2,FLUX.2 - Next Generation Image Generation,official model page,Official BFL model page confirms FLUX.2 but captured text does not show a date; public index and model metadata point to 2025-11-25.
AIT-2025-12-001,2025,December 2025,Mistral 3; Devstral 2,Mistral Large 3; Ministral 3 3B; Ministral 3 8B; Ministral 3 14B; Devstral 2,2025-12-02; 2025-12-02; 2025-12-02; 2025-12-02; 2025-12-09,Mistral,5,"Mistral AI launches the Mistral 3 family (Large & Ministral) alongside Mistral OCR 3 and the Devstral 2 coding series, reinforcing its open-weight leadership with advanced agentic workflows and Vibe CLI integration.",2025-12-02,2025-12-02; 2025-12-09,,day_resolved,high,https://mistral.ai/news/mistral-3/; https://mistral.ai/news/devstral-2-vibe-cli/,Introducing Mistral 3; Introducing: Devstral 2 and Mistral Vibe CLI.,official_blog; official_blog,"The event combines two Mistral announcements: Mistral 3 and Ministral 3 on December 2, 2025, and Devstral 2 on December 9, 2025."
AIT-2025-12-002,2025,December 2025,GPT-5.2; GPT-Image 1.5,GPT-5.2 (xhigh); GPT Image 1.5 (high),2025-12-11; 2025-12,OpenAI,2,"OpenAI releases GPT-5.2 , featuring the autonomous Codex agent for complex engineering tasks, and GPT-Image 1.5 , which claims the #1 spot on vision benchmarks, outperforming Nano Banana Pro.",2025-12-11,2025-12-11; 2025-12-16,,day_resolved,medium,https://openai.com/index/introducing-gpt-5-2/; https://help.openai.com/en/articles/6825453-chatgpt-release-notes,Introducing GPT-5.2; ChatGPT Release Notes,official product/research announcement; official release notes,"Multi-model event. GPT-5.2 page is dated December 11, 2025. GPT Image 1.5 is tied to the first-party ChatGPT Images release note dated December 16, 2025; no dedicated dated blog URL was verified here."
AIT-2025-12-003,2025,December 2025,Gemini 3.0 Flash; Gemini 2.5 Flash Audio,Gemini 3 Flash Preview (Reasoning); Gemini 2.5 Flash Native Audio Preview (Dec 2025),2025-12-17; ,Google,2,"Google introduces Gemini 3.0 Flash , setting a new standard for price-performance, and deploys Deep Research , an autonomous agent capable of multi-step synthesis, alongside Gemini 2.5 Flash Audio .",2025-12-17,2025-12-17,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,Main event date from Gemini 3 Flash Preview launch; the same release notes list Gemini 2.5 Flash Native Audio Preview on 2025-12-12.
AIT-2025-12-004,2025,December 2025,Nova 2; Nova 2 Sonic,Nova 2.0 Omni (medium); Nova 2.0 Pro Preview (medium); Nova 2.0 Sonic,2025-11-26; 2025-11-27; ,Amazon,3,"Amazon unveils the Nova 2 series, highlighted by Nova 2 Sonic , a native speech-to-speech model delivering ultra-low latency and natural conversation flow.",2025-12-02,2025-12-02,,day_resolved,high,https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-nova-2-omni-preview/,Introducing Amazon Nova 2 Omni in Preview,official what's-new post,"AWS What's New 页面 ""Posted on: Dec 2, 2025""（re:Invent）；Nova 2 系列（Omni/Pro/Sonic）同日发布。（2026-07-02 三次补漏）"
AIT-2025-12-005,2025,December 2025,Gen-4.5,Runway Gen-4.5,2025-12,Runway,1,"Runway releases Gen-4.5 , a video generation model that rises to the top of industry leaderboards for motion consistency and prompt adherence.",2025-12-01,2025-12-01,,day_resolved,medium,https://runwayml.com/research/introducing-runway-gen-4-5,Introducing Runway Gen-4.5,official research page not retrieved,"The official Runway Gen-4.5 URL is referenced by indexed sources, but the page text was not retrieved in this run. Date comes from consistent public indexing of the official announcement."
AIT-2025-12-006,2025,December 2025,Grok Voice Agent API,Grok Voice Agent,,xAI,1,"xAI launches the Grok Voice Agent API , enabling native, real-time bidirectional audio streaming for developers.",2025-12-17,2025-12-17,,day_resolved,high,https://x.ai/news/grok-voice-agent-api,Grok Voice Agent API,official technical blog,"xAI blog date used as requested. xAI docs release notes list GA on Dec 16, 2025, but the blog post date is Dec 17."
