event_id,aa_metric_type,aa_matched_record_count,aa_matched_names,representative_aa_record_key,representative_aa_name,representative_aa_creator,representative_aa_modality,representative_aa_release_date,representative_selection_rule,aa_intelligence_index,aa_coding_index,aa_math_index,mmlu_pro,gpqa,livecodebench,aime,elo,rank,ci95,appearances,price_1m_input_tokens,price_1m_output_tokens,price_1m_blended_3_to_1,median_output_tokens_per_second,median_time_to_first_token_seconds,median_time_to_first_answer_token
AIT-2025-08-007,media,1,Nano Banana (Gemini 2.5 Flash Image),image-editing:ead01c00-8518-4f8d-8033-76fcaef910fd,Nano Banana (Gemini 2.5 Flash Image),Google,image-editing,2025-08,max media elo (media flagship),,,,,,,,1183,26,-8/8,8454,,,,,,
AIT-2025-09-001,media,1,Seedream 4.0,text-to-image:e9f5c7b0-bcb3-400b-81a1-0a1401323551,Seedream 4.0,ByteDance Seed,text-to-image,2025-09,max media elo (media flagship),,,,,,,,1194,14,-8/8,12263,,,,,,
AIT-2025-09-004,media,1,Suno V5,music-instrumental:57ebe97f-f111-44bd-b222-cef1ae030138,Suno V5,Suno,music-instrumental,,max media elo (media flagship),,,,,,,,1158,,10,,,,,,,
AIT-2025-09-005,llm,1,Qwen3 Max,language:7ae943a9-9310-4472-a834-c61f0ab68485,Qwen3 Max,Alibaba,language,2025-09-23,max aa_intelligence_index (llm flagship),24,,80.7,0.841,0.764,0.767,,,,,,1.655,7.225,3.047,59.364,1.847,1.847
AIT-2025-09-007,llm,1,Claude 4.5 Sonnet (Reasoning),language:90e078f2-051b-4c63-8919-76618971cb3f,Claude 4.5 Sonnet (Reasoning),Anthropic,language,2025-09-29,max aa_intelligence_index (llm flagship),34.7,,88,0.875,0.834,0.714,,,,,,3,15,6,58.914,7.273,7.273
AIT-2025-09-008,media,1,Sora 2 (October),text-to-video:996c82eb-9da9-4d21-96c6-98654d21b639,Sora 2 (October),OpenAI,text-to-video,2025-09,max media elo (media flagship),,,,,,,,1169,42,-8/8,5404,,,,,,
AIT-2025-09-009,llm,1,DeepSeek V3.2 Exp (Reasoning),language:af134350-8ba3-4629-b56b-00bd6dcf60c4,DeepSeek V3.2 Exp (Reasoning),DeepSeek,language,2025-09-29,max aa_intelligence_index (llm flagship),25.4,,87.7,0.85,0.797,0.789,,,,,,0.275,0.415,0.31,0,0,0
AIT-2025-10-003,llm,1,Claude 4.5 Haiku (Reasoning),language:a6340098-d7ae-462d-b372-0a0a67fc44b4,Claude 4.5 Haiku (Reasoning),Anthropic,language,2025-10-15,max aa_intelligence_index (llm flagship),29.6,43.9,83.7,0.76,0.672,0.615,,,,,,1,5,2,162.347,13.541,13.541
AIT-2025-11-001,llm,1,Kimi K2 Thinking,language:bddebfd3-0a8d-47f5-b722-bc4c2ca5a5dc,Kimi K2 Thinking,Kimi,language,2025-11-06,max aa_intelligence_index (llm flagship),32.7,,94.7,0.848,0.838,0.853,,,,,,0.6,2.5,1.075,129.299,0.899,16.367
AIT-2025-11-002,llm,1,GPT-5.1 (high),language:4dc12a38-b18f-4c43-8e1b-678f8434b5b1,GPT-5.1 (high),OpenAI,language,2025-11-13,max aa_intelligence_index (llm flagship),38.9,,94,0.87,0.873,0.868,,,,,,1.25,10,3.438,98.497,44.904,44.904
AIT-2025-11-003,llm,1,Grok 4.1 Fast (Reasoning),language:23149f9b-c904-43e2-9ec4-afa2bf843941,Grok 4.1 Fast (Reasoning),xAI,language,2025-11-19,max aa_intelligence_index (llm flagship),30.6,,89.3,0.854,0.853,0.822,,,,,,0,0,0,0,0,0
AIT-2025-11-004,llm,1,Gemini 3 Pro Preview (high),language:d1122eff-ee85-4fdc-8a9f-23bee6590667,Gemini 3 Pro Preview (high),Google,language,2025-11-18,max aa_intelligence_index (llm flagship),39.6,,95.7,0.898,0.908,0.917,,,,,,2,12,4.5,0,0,0
AIT-2025-11-006,media,1,Nano Banana Pro (Gemini 3 Pro Image),text-to-image:6a5056eb-6854-43c4-bf18-01d185ce9e2f,Nano Banana Pro (Gemini 3 Pro Image),Google,text-to-image,2025-11,max media elo (media flagship),,,,,,,,1220,8,-9/9,6251,,,,,,
AIT-2025-11-007,llm,1,Claude Opus 4.5 (Reasoning),language:2660d74f-ce79-48a8-8b53-6e668e2071a2,Claude Opus 4.5 (Reasoning),Anthropic,language,2025-11-24,max aa_intelligence_index (llm flagship),40.8,,91.3,0.895,0.866,0.871,,,,,,5,25,10,75.292,12.702,12.702
AIT-2025-11-008,media,3,FLUX.2 [pro]; FLUX.2 [flex]; FLUX.2 [dev],image-editing:18874791-11a3-4cb7-bc0e-6ca10138eec7,FLUX.2 [pro],Black Forest Labs,image-editing,2025-11,max media elo (media flagship),,,,,,,,1180,27,-8/8,7461,,,,,,
AIT-2025-12-001,llm,5,Mistral Large 3; Ministral 3 3B; Ministral 3 8B; Ministral 3 14B; Devstral 2,language:4928e950-7f37-4475-b0dc-c5bad781a321,Mistral Large 3,Mistral,language,2025-12-02,max aa_intelligence_index (llm flagship),15.9,20.1,38,0.807,0.68,0.465,,,,,,0.5,1.5,0.75,58.864,0.711,0.711
AIT-2025-12-002,llm,2,GPT-5.2 (xhigh); GPT Image 1.5 (high),language:498862c3-f9ac-49d2-852f-16a02bb0c38f,GPT-5.2 (xhigh),OpenAI,language,2025-12-11,max aa_intelligence_index (llm flagship),42.2,,99,0.874,0.903,0.889,,,,,,1.75,14,4.813,86.009,89.004,89.004
AIT-2025-12-003,llm,2,Gemini 3 Flash Preview (Reasoning); Gemini 2.5 Flash Native Audio Preview (Dec 2025),language:7c73c3be-7f51-4d14-bec8-d5789488df25,Gemini 3 Flash Preview (Reasoning),Google,language,2025-12-17,max aa_intelligence_index (llm flagship),37.8,,97,0.89,0.898,0.908,,,,,,0.5,3,1.125,223.697,5.859,5.859
AIT-2025-12-004,llm,3,Nova 2.0 Omni (medium); Nova 2.0 Pro Preview (medium); Nova 2.0 Sonic,language:0d94dc87-12c8-4d4a-8d99-804ce3f17bc2,Nova 2.0 Pro Preview (medium),Amazon,language,2025-11-27,max aa_intelligence_index (llm flagship),21.8,34,89,0.83,0.785,0.73,,,,,,1.25,10,3.438,132.953,20.996,36.039
AIT-2025-12-005,media,1,Runway Gen-4.5,text-to-video:440843ac-4961-4eef-a504-158724c11fee,Runway Gen-4.5,Runway,text-to-video,2025-12,max media elo (media flagship),,,,,,,,1225,9,-8/8,9372,,,,,,
AIT-2025-12-006,none,1,Grok Voice Agent,speech-to-speech:88cd2439-5343-481c-88f4-ee0895880f6c,Grok Voice Agent,xAI,speech-to-speech,,"first matched record, no comparable metric",,,,,,,,,,,,,,,,,
AIT-2025-12-007,llm,1,GLM-4.7 (Reasoning),language:6fc35842-0165-44cf-8570-c484a92b3d8c,GLM-4.7 (Reasoning),Z AI,language,2025-12-22,max aa_intelligence_index (llm flagship),33.8,,95,0.856,0.859,0.894,,,,,,0.6,2.2,1,112.587,0.611,18.375
AIT-2025-12-009,llm,1,MiniMax-M2.1,language:272ff333-442f-4169-a804-ac9177bc99d7,MiniMax-M2.1,MiniMax,language,2025-12-23,max aa_intelligence_index (llm flagship),31.4,,82.7,0.875,0.83,0.81,,,,,,0.3,1.2,0.525,225.36,7.283,16.157
AIT-2026-01-003,llm,1,Kimi K2.5 (Reasoning),language:a550ffca-f89e-4381-ade6-a85dc6a1fb4c,Kimi K2.5 (Reasoning),Kimi,language,2026-01-27,max aa_intelligence_index (llm flagship),38.1,,,,0.879,,,,,,,0.58,3,1.185,37.698,1.25,79.98
AIT-2026-01-004,media,1,grok-imagine-video,text-to-video:22ae7204-9ed9-4440-a8a6-48340dc8d446,grok-imagine-video,xAI,text-to-video,2026-01,max media elo (media flagship),,,,,,,,1233,6,-8/8,6472,,,,,,
AIT-2026-02-001,llm,2,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort); Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",language:df8d14e0-3997-4e4d-b4ad-9c047acc9c69,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,language,2026-02-17,max aa_intelligence_index (llm flagship),47.2,63,,,0.875,,,,,,,3,15,6,68.352,79.559,79.559
AIT-2026-02-002,llm,1,GPT-5.3 Codex (xhigh),language:59b5b14b-5365-4ee7-824a-18a8e6309644,GPT-5.3 Codex (xhigh),OpenAI,language,2026-02-05,max aa_intelligence_index (llm flagship),44.3,,,,0.915,,,,,,,1.75,14,4.813,82.986,59.98,59.98
AIT-2026-02-005,llm,1,GLM-5 (Reasoning),language:40663ad2-b218-471e-bdd4-a1e0c2360e2b,GLM-5 (Reasoning),Z AI,language,2026-02-11,max aa_intelligence_index (llm flagship),39.5,,,,0.82,,,,,,,1,3.2,1.55,53.118,1.084,59.539
AIT-2026-02-006,llm,1,Grok 4.20 0309 v2 (Reasoning),language:c72cb85a-18a4-4235-b455-77dff2f16c50,Grok 4.20 0309 v2 (Reasoning),xAI,language,2026-04-07,max aa_intelligence_index (llm flagship),37,,,,0.911,,,,,,,2,6,3,246.049,14.034,14.034
AIT-2026-02-008,media,1,Nano Banana 2 (Gemini 3.1 Flash Image Preview),text-to-image:3180162e-693d-487d-adbb-721f859f768d,Nano Banana 2 (Gemini 3.1 Flash Image Preview),Google,text-to-image,2026-02,max media elo (media flagship),,,,,,,,1255,5,-9/9,9263,,,,,,
AIT-2026-03-002,llm,3,GPT-5.4 (xhigh); GPT-5.4 mini (xhigh); GPT-5.4 nano (xhigh),language:a89c4b28-2d8c-456e-88ea-255fb51fd2b6,GPT-5.4 (xhigh),OpenAI,language,2026-03-05,max aa_intelligence_index (llm flagship),51.4,71.1,,,0.92,,,,,,,2.5,15,5.625,159.31,99.76,99.76
AIT-2026-03-003,llm,1,Mistral Small 4 (Reasoning),language:3fd96175-4ef1-434c-8795-f873aec2abc1,Mistral Small 4 (Reasoning),Mistral,language,2026-03-16,max aa_intelligence_index (llm flagship),20.8,,,,0.769,,,,,,,0.15,0.6,0.262,177.444,0.578,11.849
AIT-2026-03-004,media,1,Suno V5.5,music-instrumental:2f4c8108-bcaa-49fd-a1fb-306b928f787d,Suno V5.5,Suno,music-instrumental,,max media elo (media flagship),,,,,,,,1192,,10,,,,,,,
