event_id,ai_year,ai_month,official_date,official_date_all,model_names,aa_creators,model_count,date_status,date_confidence,date_source_types,event_trading_date,first_us_trading_date_on_or_after_official_date,official_date_is_trading_day,date_roll_rule,price_start_for_return_at_t_minus_200,estimation_start_t_minus_200,estimation_end_t_minus_10,pre_window_start_t_minus_10,pre_window_end_t_minus_2,event_window_end_t_plus_20,official_date_month_matches_ai_month,multi_component_date_flag,release_time_status,date_review_flag
AIT-2025-09-009,2025,September 2025,2025-09-29,2025-09-29,DeepSeek-V3.2-Exp,DeepSeek,1,day_resolved,high,official_api_announcement,2025-09-29,2025-09-29,True,same_day,2024-12-06,2024-12-09,2025-09-15,2025-09-15,2025-09-25,2025-10-27,True,False,unknown,False
AIT-2025-10-003,2025,October 2025,2025-10-15,2025-10-15,Claude 4.5 Haiku,Anthropic,1,day_resolved,high,official_product,2025-10-15,2025-10-15,True,same_day,2024-12-24,2024-12-26,2025-10-01,2025-10-01,2025-10-13,2025-11-12,True,False,unknown,False
AIT-2025-11-001,2025,November 2025,2025-11-06,2025-11-06,Kimi K2 Thinking,Kimi,1,day_resolved,high,official_research_page,2025-11-06,2025-11-06,True,same_day,2025-01-21,2025-01-22,2025-10-23,2025-10-23,2025-11-04,2025-12-05,True,False,unknown,False
AIT-2025-11-002,2025,November 2025,2025-11-12,2025-11-12,GPT 5.1,OpenAI,1,day_resolved,high,official product/release announcement,2025-11-12,2025-11-12,True,same_day,2025-01-27,2025-01-28,2025-10-29,2025-10-29,2025-11-10,2025-12-11,True,False,unknown,False
AIT-2025-11-003,2025,November 2025,2025-11-17,2025-11-17,Grok 4.1,xAI,1,day_resolved,high,official technical blog,2025-11-17,2025-11-17,True,same_day,2025-01-30,2025-01-31,2025-11-03,2025-11-03,2025-11-13,2025-12-16,True,False,unknown,False
AIT-2025-11-004,2025,November 2025,2025-11-18,2025-11-18,Gemini 3.0,Google,1,day_resolved,high,Google AI for Developers release notes,2025-11-18,2025-11-18,True,same_day,2025-01-31,2025-02-03,2025-11-04,2025-11-04,2025-11-14,2025-12-17,True,False,unknown,False
AIT-2025-11-006,2025,November 2025,2025-11-20,2025-11-20,Nano Banana Pro,Google,1,day_resolved,high,Google AI for Developers release notes,2025-11-20,2025-11-20,True,same_day,2025-02-04,2025-02-05,2025-11-06,2025-11-06,2025-11-18,2025-12-19,True,False,unknown,False
AIT-2025-11-007,2025,November 2025,2025-11-24,2025-11-24,Claude Opus 4.5,Anthropic,1,day_resolved,high,official_news,2025-11-24,2025-11-24,True,same_day,2025-02-06,2025-02-07,2025-11-10,2025-11-10,2025-11-20,2025-12-23,True,False,unknown,False
AIT-2025-11-008,2025,November 2025,2025-11-25,2025-11-25,FLUX 2,Black Forest Labs,3,day_resolved,medium,official model page,2025-11-25,2025-11-25,True,same_day,2025-02-07,2025-02-10,2025-11-11,2025-11-11,2025-11-21,2025-12-24,True,False,unknown,False
AIT-2025-12-001,2025,December 2025,2025-12-02,2025-12-02; 2025-12-09,Mistral 3; Devstral 2,Mistral,5,day_resolved,high,official_blog; official_blog,2025-12-02,2025-12-02,True,same_day,2025-02-13,2025-02-14,2025-11-17,2025-11-17,2025-11-28,2025-12-31,True,True,unknown,True
AIT-2025-12-002,2025,December 2025,2025-12-11,2025-12-11; 2025-12-16,GPT-5.2; GPT-Image 1.5,OpenAI,2,day_resolved,medium,official product/research announcement; official release notes,2025-12-11,2025-12-11,True,same_day,2025-02-25,2025-02-26,2025-11-26,2025-11-26,2025-12-09,2026-01-12,True,True,unknown,True
AIT-2025-12-003,2025,December 2025,2025-12-17,2025-12-17,Gemini 3.0 Flash; Gemini 2.5 Flash Audio,Google,2,day_resolved,high,Google AI for Developers release notes,2025-12-17,2025-12-17,True,same_day,2025-03-03,2025-03-04,2025-12-03,2025-12-03,2025-12-15,2026-01-16,True,False,unknown,False
AIT-2025-12-004,2025,December 2025,2025-12-02,2025-12-02,Nova 2; Nova 2 Sonic,Amazon,3,day_resolved,high,official what's-new post,2025-12-02,2025-12-02,True,same_day,2025-02-13,2025-02-14,2025-11-17,2025-11-17,2025-11-28,2025-12-31,True,False,unknown,False
AIT-2025-12-005,2025,December 2025,2025-12-01,2025-12-01,Gen-4.5,Runway,1,day_resolved,medium,official research page not retrieved,2025-12-01,2025-12-01,True,same_day,2025-02-12,2025-02-13,2025-11-14,2025-11-14,2025-11-26,2025-12-30,True,False,unknown,False
AIT-2025-12-006,2025,December 2025,2025-12-17,2025-12-17,Grok Voice Agent API,xAI,1,day_resolved,high,official technical blog,2025-12-17,2025-12-17,True,same_day,2025-03-03,2025-03-04,2025-12-03,2025-12-03,2025-12-15,2026-01-16,True,False,unknown,False
AIT-2025-12-007,2025,December 2025,2025-12-22,2025-12-22,GLM-4.7,Z AI,1,day_resolved,medium,official_blog_js_rendered,2025-12-22,2025-12-22,True,same_day,2025-03-06,2025-03-07,2025-12-08,2025-12-08,2025-12-18,2026-01-22,True,False,unknown,False
AIT-2025-12-009,2025,December 2025,2025-12-20,2025-12-20,MiniMax-M2.1,MiniMax,1,day_resolved,medium,first-party model repo (createdAt),2025-12-22,2025-12-22,False,next_trading_day_nonmarket,2025-03-06,2025-03-07,2025-12-08,2025-12-08,2025-12-18,2026-01-22,True,False,unknown,False
AIT-2026-01-003,2026,January 2026,2026-01-27,2026-01-27,Kimi K2.5,Kimi,1,day_resolved,high,official_research_page,2026-01-27,2026-01-27,True,same_day,2025-04-08,2025-04-09,2026-01-12,2026-01-12,2026-01-23,2026-02-25,True,False,unknown,False
AIT-2026-01-004,2026,January 2026,2026-01-28,2026-01-28,Imagine Video,xAI,1,day_resolved,medium,official technical blog,2026-01-28,2026-01-28,True,same_day,2025-04-09,2025-04-10,2026-01-13,2026-01-13,2026-01-26,2026-02-26,True,False,unknown,False
AIT-2026-02-001,2026,February 2026,2026-02-05,2026-02-05; 2026-02-17,Claude Opus 4.6; Claude Sonnet 4.6,Anthropic,2,day_resolved,high,official_news; official_product,2026-02-05,2026-02-05,True,same_day,2025-04-17,2025-04-21,2026-01-22,2026-01-22,2026-02-03,2026-03-06,True,True,unknown,True
AIT-2026-02-002,2026,February 2026,2026-02-05,2026-02-05,GPT-5.3-Codex,OpenAI,1,day_resolved,high,official product/research announcement,2026-02-05,2026-02-05,True,same_day,2025-04-17,2025-04-21,2026-01-22,2026-01-22,2026-02-03,2026-03-06,True,False,unknown,False
AIT-2026-02-005,2026,February 2026,2026-02-11,2026-02-11,GLM-5,Z AI,1,day_resolved,medium,official_blog_js_rendered,2026-02-11,2026-02-11,True,same_day,2025-04-24,2025-04-25,2026-01-28,2026-01-28,2026-02-09,2026-03-12,True,False,unknown,False
AIT-2026-02-006,2026,February 2026,2026-03-10,2026-03-10,Grok 4.20,xAI,1,day_resolved,low,official docs release notes,2026-03-10,2026-03-10,True,same_day,2025-05-20,2025-05-21,2026-02-24,2026-02-24,2026-03-06,2026-04-08,False,False,unknown,True
AIT-2026-02-008,2026,February 2026,2026-02-26,2026-02-26,Nano Banana 2,Google,1,day_resolved,high,Google AI for Developers release notes,2026-02-26,2026-02-26,True,same_day,2025-05-08,2025-05-09,2026-02-11,2026-02-11,2026-02-24,2026-03-26,True,False,unknown,False
AIT-2026-03-002,2026,March 2026,2026-03-05,2026-03-05; 2026-03-17,GPT-5.4; GPT-5.4 mini; GPT-5.4 nano,OpenAI,3,day_resolved,medium,official release notes; official product announcement,2026-03-05,2026-03-05,True,same_day,2025-05-15,2025-05-16,2026-02-19,2026-02-19,2026-03-03,2026-04-02,True,True,unknown,True
AIT-2026-03-003,2026,March 2026,2026-03-16,2026-03-16,Mistral Small 4,Mistral,1,day_resolved,high,official_model_card,2026-03-16,2026-03-16,True,same_day,2025-05-27,2025-05-28,2026-03-02,2026-03-02,2026-03-12,2026-04-14,True,False,unknown,False
AIT-2026-03-004,2026,March 2026,2026-03-26,2026-03-26,Suno v5.5,Suno,1,day_resolved,high,official product blog,2026-03-26,2026-03-26,True,same_day,2025-06-06,2025-06-09,2026-03-12,2026-03-12,2026-03-24,2026-04-24,True,False,unknown,False
