source_row_number,event_name,creator,release_date,refined_event_type,aa_match_status,current_aa_candidate,match_score,failure_reason,candidate_1,candidate_2,candidate_3,recommended_action,manual_confirmed_model_id,manual_notes
74,Meta Apollo,Meta,2024/12/19,multimodal_model,unmatched,,,genuinely_missing_from_aa,Llama 2 Chat 7B | id=ffd65ef7-fbdb-4145-98ae-b5d01cda770b | score=0.1973 | method=fuzzy_name+creator | release_date=2023-07-18,Llama 4 Scout | id=adf9a85e-abc3-4f28-937b-db6655cc5238 | score=0.1943 | method=fuzzy_name+creator | release_date=2025-04-05,Llama 65B | id=fe11ab6c-a4dd-4c28-9fef-07da76d5ed14 | score=0.19 | method=fuzzy_name+creator | release_date=2023-02-24,leave_metrics_blank_until_aa_adds_model,,
75,Meta Chameleon,Meta,2024/5/16,multimodal_model,unmatched,,,genuinely_missing_from_aa,Llama 2 Chat 7B | id=ffd65ef7-fbdb-4145-98ae-b5d01cda770b | score=0.2179 | method=fuzzy_name+creator | release_date=2023-07-18,Llama 2 Chat 70B | id=599da8e0-bd9c-4b38-a127-b50e371fbcf8 | score=0.208 | method=fuzzy_name+creator | release_date=2023-07-18,Llama 2 Chat 13B | id=6b08a75a-19ee-40b4-be33-133b8ef42f92 | score=0.208 | method=fuzzy_name+creator | release_date=2023-07-18,leave_metrics_blank_until_aa_adds_model,,
76,Meta Spirit LM,Meta,2024/1/18,audio_model,unmatched,,,non_llm_endpoint_mismatch,Muse Spark | id=ebf3b39f-0be6-43a1-a37a-f9b2978c9916 | score=0.31 | method=fuzzy_name+creator | release_date=2026-04-08,Llama 3 Instruct 8B | id=82879bb8-89fb-4adc-b519-315b8ef30b77 | score=0.2255 | method=fuzzy_name+creator | release_date=2024-04-18,Llama 3 Instruct 70B | id=aa83359a-d804-4f0b-b5bf-dc637711c26f | score=0.2165 | method=fuzzy_name+creator | release_date=2024-04-18,use_aa_media_endpoint,,
77,Movie Gen,Meta,2024/10/4,video_model,unmatched,,,non_llm_endpoint_mismatch,Muse Spark | id=ebf3b39f-0be6-43a1-a37a-f9b2978c9916 | score=0.1774 | method=fuzzy_name+creator | release_date=2026-04-08,Llama 3.2 Instruct 90B (Vision) | id=9ca71ac4-41c8-42c0-87dd-5704a9e5b94d | score=0.1695 | method=fuzzy_name+creator | release_date=2024-09-25,Llama 3.2 Instruct 11B (Vision) | id=5fb47ff6-a30e-4c2c-96f2-55e95a13390f | score=0.1695 | method=fuzzy_name+creator | release_date=2024-09-25,use_aa_media_endpoint,,
78,Nano Banana Pro,Google,2025/11/20,image_model,unmatched,,,non_llm_endpoint_mismatch,Gemini 3 Pro Preview (low) | id=b2f3191f-77d6-4155-8be6-330f0baa1ae5 | score=0.2785 | method=fuzzy_name+creator | release_date=2025-11-18,Gemini 2.5 Pro | id=27202e5f-c82d-4710-92e9-4317877d4883 | score=0.2646 | method=fuzzy_name+creator | release_date=2025-06-05,Gemini 3 Pro Preview (high) | id=d1122eff-ee85-4fdc-8a9f-23bee6590667 | score=0.236 | method=fuzzy_name+creator | release_date=2025-11-18,use_aa_media_endpoint,,
80,Nova 2,Amazon,2025/12/1,multimodal_model,matched_low_confidence,Nova Pro | id=546ec53f-273c-4af7-b13f-b88c41f45905 | score=0.6076 | method=fuzzy_name+creator,0.6076,model_family_not_specific,Nova Pro | id=546ec53f-273c-4af7-b13f-b88c41f45905 | score=0.6076 | method=fuzzy_name+creator | release_date=2024-12-03,Nova Lite | id=5c3dd927-48a3-4f3c-8045-9b135f62dfbb | score=0.5733 | method=fuzzy_name+creator | release_date=2024-12-03,Nova Micro | id=344c6718-c573-41d4-9556-10287a3fa1fc | score=0.5433 | method=fuzzy_name+creator | release_date=2024-12-03,manual_select_specific_variant,,
82,OpenELM,Apple,2024/4/22,text_llm,unmatched,,,genuinely_missing_from_aa,,,,leave_metrics_blank_until_aa_adds_model,,
83,PaliGemma 2,Google,2024/12/10,multimodal_model,matched_low_confidence,PALM-2 | id=515852e7-ba9c-4571-8cf9-82ad6b45f22f | score=0.6316 | method=fuzzy_name+creator,0.6316,name_alias_issue,PALM-2 | id=515852e7-ba9c-4571-8cf9-82ad6b45f22f | score=0.6316 | method=fuzzy_name+creator | release_date=2023-05-10,Gemma 3 270M | id=04781a0e-40f0-4e2a-a4e5-18e389364a79 | score=0.2583 | method=fuzzy_name+creator | release_date=2025-08-14,Gemini 2.0 Flash (experimental) | id=fddb72bd-60d3-41af-acc5-3df9a290eb8e | score=0.2147 | method=fuzzy_name+creator | release_date=2024-12-11,manual_alias_confirm_then_backfill,,
85,Phi 3.5,Microsoft,2024/8/20,text_llm,unmatched,,,name_alias_issue,Phi-4 | id=ee708f92-374e-4123-b900-e22d7b2afc19 | score=0.37 | method=fuzzy_name+creator | release_date=2024-12-12,Phi-3 Mini Instruct 3.8B | id=ded8d96e-835f-4359-947a-a4c3bb78e983 | score=0.2113 | method=fuzzy_name+creator | release_date=2024-04-23,Phi-4 Mini Instruct | id=9f873c2f-2c2d-4ccb-9e1b-71bf61b052be | score=0.1436 | method=fuzzy_name+creator | release_date=2024-02-26,manual_alias_confirm_then_backfill,,
86,Phi 4 reasoning,Microsoft,2025/5/1,reasoning_llm,matched_low_confidence,Phi-4 | id=ee708f92-374e-4123-b900-e22d7b2afc19 | score=0.6267 | method=fuzzy_name+creator,0.6267,name_alias_issue,Phi-4 | id=ee708f92-374e-4123-b900-e22d7b2afc19 | score=0.6267 | method=fuzzy_name+creator | release_date=2024-12-12,Phi-4 Mini Instruct | id=9f873c2f-2c2d-4ccb-9e1b-71bf61b052be | score=0.5232 | method=fuzzy_name+creator | release_date=2024-02-26,Phi-4 Multimodal Instruct | id=2cd04201-2b6e-47ef-853e-7601f705f2a8 | score=0.516 | method=fuzzy_name+creator | release_date=2025-02-26,manual_alias_confirm_then_backfill,,
87,Phi-3-mini,Microsoft,2024/4/22,text_llm,matched_low_confidence,Phi-3 Mini Instruct 3.8B | id=ded8d96e-835f-4359-947a-a4c3bb78e983 | score=0.708 | method=fuzzy_name+creator,0.708,name_alias_issue,Phi-3 Mini Instruct 3.8B | id=ded8d96e-835f-4359-947a-a4c3bb78e983 | score=0.708 | method=fuzzy_name+creator | release_date=2024-04-23,Phi-4 Mini Instruct | id=9f873c2f-2c2d-4ccb-9e1b-71bf61b052be | score=0.4089 | method=fuzzy_name+creator | release_date=2024-02-26,Phi-4 | id=ee708f92-374e-4123-b900-e22d7b2afc19 | score=0.274 | method=fuzzy_name+creator | release_date=2024-12-12,manual_alias_confirm_then_backfill,,
89,Phi4-mini,Microsoft,2025/2/1,text_llm,unmatched,,,name_alias_issue,Phi-4 | id=ee708f92-374e-4123-b900-e22d7b2afc19 | score=0.57 | method=fuzzy_name+creator | release_date=2024-12-12,Phi-4 Mini Instruct | id=9f873c2f-2c2d-4ccb-9e1b-71bf61b052be | score=0.456 | method=fuzzy_name+creator | release_date=2024-02-26,Phi-3 Mini Instruct 3.8B | id=ded8d96e-835f-4359-947a-a4c3bb78e983 | score=0.34 | method=fuzzy_name+creator | release_date=2024-04-23,manual_alias_confirm_then_backfill,,
91,Sora,OpenAI,2024/2/15,video_model,unmatched,,,non_llm_endpoint_mismatch,o1-pro | id=e8d4100e-165b-4c5d-ac11-ac553590a334 | score=0.19 | method=fuzzy_name+creator | release_date=2025-03-19,o3-pro | id=ca04852c-eaae-4881-a208-f9b2ca3b7cd6 | score=0.19 | method=fuzzy_name+creator | release_date=2025-06-10,GPT-4o (May '24) | id=e98e911e-9fb2-4a9a-826e-3d681d0cdca8 | score=0.1818 | method=fuzzy_name+creator | release_date=2024-05-13,use_aa_media_endpoint,,
92,Sora 2,OpenAI,2025/9/15,video_model,unmatched,,,non_llm_endpoint_mismatch,GPT-4o (May '24) | id=e98e911e-9fb2-4a9a-826e-3d681d0cdca8 | score=0.154 | method=fuzzy_name+creator | release_date=2024-05-13,GPT-4o (Aug '24) | id=8c1be908-67b6-4cf4-ba08-83ddbe44fde3 | score=0.154 | method=fuzzy_name+creator | release_date=2024-08-06,GPT-5.2 (Non-reasoning) | id=6dd8ba55-5680-44a9-b309-82928165d5f0 | score=0.1264 | method=fuzzy_name+creator | release_date=2025-12-11,use_aa_media_endpoint,,
93,Veo 2,Google,2024/12/5,video_model,unmatched,,,non_llm_endpoint_mismatch,PALM-2 | id=515852e7-ba9c-4571-8cf9-82ad6b45f22f | score=0.3852 | method=fuzzy_name+creator | release_date=2023-05-10,Gemini 2.5 Pro | id=27202e5f-c82d-4710-92e9-4317877d4883 | score=0.1792 | method=fuzzy_name+creator | release_date=2025-06-05,Gemma 3 270M | id=04781a0e-40f0-4e2a-a4e5-18e389364a79 | score=0.0741 | method=fuzzy_name+creator | release_date=2025-08-14,use_aa_media_endpoint,,
94,Veo 3,Google,2025/5/25,video_model,unmatched,,,non_llm_endpoint_mismatch,Gemini 3 Pro Preview (low) | id=b2f3191f-77d6-4155-8be6-330f0baa1ae5 | score=0.3749 | method=fuzzy_name+creator | release_date=2025-11-18,Gemini 3 Pro Preview (high) | id=d1122eff-ee85-4fdc-8a9f-23bee6590667 | score=0.3667 | method=fuzzy_name+creator | release_date=2025-11-18,Gemma 3 270M | id=04781a0e-40f0-4e2a-a4e5-18e389364a79 | score=0.3541 | method=fuzzy_name+creator | release_date=2025-08-14,use_aa_media_endpoint,,
95,xAI Aurora,xAI,2024/12/5,image_model,unmatched,,,non_llm_endpoint_mismatch,Grok Beta | id=a04f5b78-f397-4fd8-a2b1-00dcab50324c | score=0.3032 | method=fuzzy_name+creator | release_date=2024-08-13,Grok 3 Reasoning Beta | id=ec3b22e6-48ac-416a-b4ae-55565a4f3046 | score=0.24 | method=fuzzy_name+creator | release_date=2025-02-19,Grok 4 Fast (Reasoning) | id=573bbd93-114c-4b71-9ede-a73a7d4bdf84 | score=0.24 | method=fuzzy_name+creator | release_date=2025-09-19,use_aa_media_endpoint,,
