final_event_id,release_date,release_year,release_month,release_quarter,trend_month_since_2022_11,event_name,true_model_creator,creator_country,creator_type,model_names,representative_model_name,merged_model_count,merge_rule,model_family,model_variants,model_modality,model_modalities,is_cross_modality_release,is_model_family,is_multimodal,is_reasoning_model,is_coding_model,is_media_generation_model,is_open_weight_or_open_source,is_chinese_model,candidate_tier,likely_us_market_relevance,potential_us_exposure_type,possible_us_exposed_tickers,needs_relationship_mapping,llm_capability_sample_flag,media_capability_sample_flag,representative_aa_model_id,representative_aa_model_name,representative_aa_creator_name,representative_aa_source_table,representative_selection_rule,aa_model_ids,aa_model_names,aa_intelligence_index,aa_coding_index,aa_math_index,mmlu_pro,gpqa,hle,livecodebench,scicode,math_500,aime,price_1m_input_tokens,price_1m_output_tokens,price_1m_blended_3_to_1,median_output_tokens_per_second,median_time_to_first_token_seconds,aa_media_elo,aa_media_rank,aa_media_ci95,aa_media_appearances,aa_media_category_rows
FMR-0038,2025-05-21,2025,2025-05,2025Q2,30,Claude Sonnet 4,Anthropic,United States,private_us_company,Claude Sonnet 4,Claude Sonnet 4,1,single_model_event,Claude,Sonnet 4,text_llm,text_llm,0,1,0,0,1,0,0,0,Tier 1,high,major_investor,AMZN;GOOGL,1,1,0,a7564055-f8ba-4c4b-9e2d-060f61263645,Claude 4 Sonnet (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,a7564055-f8ba-4c4b-9e2d-060f61263645,Claude 4 Sonnet (Reasoning),38.7,34.1,74.3,0.842,0.777,0.096,0.655,0.4,0.991,0.773,3.0,15.0,6.0,61.904,8.849,,,,,
FMR-0039,2025-05-21,2025,2025-05,2025Q2,30,Google I/O media model family,Google,United States,listed_us_company,Veo 3; Imagen 4,Veo 3,2,Google I/O media model family,Veo; Imagen,3; 4,video_generation,video_generation; image_generation,1,1,0,0,0,1,0,0,Tier 1,high,publisher,GOOGL,0,0,1,7623b756-8b01-4e60-aed4-3322c1933e36,Veo 3,Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,7623b756-8b01-4e60-aed4-3322c1933e36; 8460c028-d357-4ca9-b761-d59d219be8f7,Veo 3; Imagen 4 Ultra Preview 0606,,,,,,,,,,,,,,,,1226.0,40.0,-1.0,4316.0,55.0
FMR-0040,2025-05-22,2025,2025-05,2025Q2,30,Claude 4 Opus,Anthropic,United States,private_us_company,Claude 4 Opus,Claude 4 Opus,1,single_model_event,Claude,4 Opus,reasoning_llm,reasoning_llm,0,1,0,0,1,0,0,0,Tier 1,high,major_investor,AMZN;GOOGL,1,1,0,8a4a5ead-7789-4389-8400-30e9d20370b7,Claude 4 Opus (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,8a4a5ead-7789-4389-8400-30e9d20370b7,Claude 4 Opus (Reasoning),39.0,34.0,73.3,0.873,0.796,0.117,0.636,0.398,0.982,0.757,15.0,75.0,30.0,47.094,7.753,,,,,
FMR-0041,2025-06-17,2025,2025-06,2025Q2,31,Gemini 2.5 Flash,Google,United States,listed_us_company,Gemini 2.5 Flash,Gemini 2.5 Flash,1,single_model_event,Gemini,2.5 Flash,multimodal_llm,multimodal_llm,0,1,1,1,0,0,0,0,Tier 2,high,publisher,GOOGL,0,1,0,219ed587-60c5-4a48-9517-8480e08d0ca1,Gemini 2.5 Flash (Reasoning),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,219ed587-60c5-4a48-9517-8480e08d0ca1,Gemini 2.5 Flash (Reasoning),27.0,22.2,73.3,0.832,0.79,0.111,0.695,0.394,0.981,0.823,0.3,2.5,0.85,217.367,11.032,,,,,
FMR-0042,2025-06-17,2025,2025-06,2025Q2,31,Gemini 2.5 Pro,Google,United States,listed_us_company,Gemini 2.5 Pro,Gemini 2.5 Pro,1,single_model_event,Gemini,2.5 Pro,text_llm,text_llm,0,0,0,0,0,0,0,0,Tier 1,high,publisher,GOOGL,0,1,0,27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,34.6,31.9,87.7,0.862,0.844,0.211,0.801,0.428,0.967,0.887,1.25,10.0,3.438,131.471,19.206,,,,,
FMR-0043,2025-07-21,2025,2025-07,2025Q3,32,Qwen3-235B-A22B-Instruct-2507,Alibaba,China,public_non_us_company,Qwen3-235B-A22B-Instruct-2507,Qwen3-235B-A22B-Instruct-2507,1,single_model_event,Qwen,3-235B-A22B-Instruct-2507,text_llm,text_llm,0,1,0,0,1,0,1,1,Tier 2,high,direct_competitor,,1,1,0,3373245b-e6dc-4b66-a7b0-3f06f9b7bd46,Qwen3 235B A22B 2507 Instruct,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,3373245b-e6dc-4b66-a7b0-3f06f9b7bd46,Qwen3 235B A22B 2507 Instruct,25.0,22.1,71.7,0.828,0.753,0.106,0.524,0.36,0.98,0.717,0.7,2.8,1.225,67.108,1.156,,,,,
FMR-0044,2025-07-22,2025,2025-07,2025Q3,32,Qwen3-Coder,Alibaba,China,public_non_us_company,Qwen3-Coder,Qwen3-Coder,1,single_model_event,Qwen,3-Coder,coding_llm,coding_llm,0,1,0,0,1,0,1,1,Tier 2,high,direct_competitor,,1,1,0,093883ed-f5fc-443b-8e18-afbfb166699e,Qwen3 Coder 480B A35B Instruct,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,093883ed-f5fc-443b-8e18-afbfb166699e,Qwen3 Coder 480B A35B Instruct,24.8,24.6,39.3,0.788,0.618,0.044,0.585,0.359,0.942,0.477,1.5,7.5,3.0,72.135,1.666,,,,,
FMR-0045,2025-07-28,2025,2025-07,2025Q3,32,GLM-4.5,Zhipu AI,China,private_non_us_company,GLM-4.5,GLM-4.5,1,single_model_event,GLM,4.5,text_llm,text_llm,0,0,0,0,0,0,1,1,Tier 2,medium,direct_competitor,,1,1,0,1cf439b8-0cfd-47b2-9de2-9a2157e6762b,GLM-4.5 (Reasoning),Z AI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,1cf439b8-0cfd-47b2-9de2-9a2157e6762b,GLM-4.5 (Reasoning),26.4,26.3,73.7,0.835,0.782,0.122,0.738,0.348,0.979,0.873,0.6,2.2,1.0,47.382,0.878,,,,,
FMR-0046,2025-08-05,2025,2025-08,2025Q3,33,gpt-oss family,OpenAI,United States,private_us_company,gpt-oss-20b; gpt-oss-120b,gpt-oss-120b,2,gpt-oss family,GPT,oss-20b; oss-120b,reasoning_llm,reasoning_llm,0,1,0,1,0,0,1,0,Tier 1,high,strategic_partner,MSFT;NVDA,1,1,0,f0083258-8646-45b8-8082-7aaf6c2ea82a,gpt-oss-120B (high),OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,16149b9c-a1e9-4669-a5cb-ff3c00d78f89; f0083258-8646-45b8-8082-7aaf6c2ea82a,gpt-oss-20B (low); gpt-oss-120B (high),33.3,28.6,93.4,0.808,0.782,0.185,0.878,0.389,,,0.15,0.6,0.263,216.388,0.479,,,,,
FMR-0047,2025-08-26,2025,2025-08,2025Q3,33,Gemini 2.5 Flash Image,Google,United States,listed_us_company,Gemini 2.5 Flash Image,Gemini 2.5 Flash Image,1,single_model_event,Gemini,2.5 Flash Image,image_editing,image_editing,0,0,0,0,0,1,0,0,Tier 1,high,publisher,GOOGL,0,0,1,ead01c00-8518-4f8d-8033-76fcaef910fd,Nano Banana (Gemini 2.5 Flash Image),Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,ead01c00-8518-4f8d-8033-76fcaef910fd,Nano Banana (Gemini 2.5 Flash Image),,,,,,,,,,,,,,,,1175.0,17.0,-1.0,6781.0,15.0
FMR-0048,2025-09-05,2025,2025-09,2025Q3,34,Qwen-3-Max,Alibaba,China,public_non_us_company,Qwen-3-Max,Qwen-3-Max,1,single_model_event,Qwen,3-Max,text_llm,text_llm,0,0,0,0,0,0,0,1,Tier 1,high,direct_competitor,,1,1,0,7ae943a9-9310-4472-a834-c61f0ab68485,Qwen3 Max,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,7ae943a9-9310-4472-a834-c61f0ab68485,Qwen3 Max,31.4,26.4,80.7,0.841,0.764,0.111,0.767,0.383,,,1.2,6.0,2.4,32.66,1.968,,,,,
FMR-0049,2025-09-25,2025,2025-09,2025Q3,34,Claude Sonnet 4.5,Anthropic,United States,private_us_company,Claude Sonnet 4.5,Claude Sonnet 4.5,1,single_model_event,Claude,Sonnet 4.5,text_llm,text_llm,0,0,0,1,1,0,0,0,Tier 2,high,major_investor,AMZN;GOOGL,1,1,0,90e078f2-051b-4c63-8919-76618971cb3f,Claude 4.5 Sonnet (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,90e078f2-051b-4c63-8919-76618971cb3f,Claude 4.5 Sonnet (Reasoning),43.0,38.6,88.0,0.875,0.834,0.173,0.714,0.447,,,3.0,15.0,6.0,66.476,8.36,,,,,
FMR-0050,2025-10-14,2025,2025-10,2025Q4,35,Claude 4.5 Haiku,Anthropic,United States,private_us_company,Claude 4.5 Haiku,Claude 4.5 Haiku,1,single_model_event,Claude,4.5 Haiku,text_llm,text_llm,0,0,0,0,0,0,0,0,Tier 2,high,major_investor,AMZN;GOOGL,1,1,0,a6340098-d7ae-462d-b372-0a0a67fc44b4,Claude 4.5 Haiku (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,a6340098-d7ae-462d-b372-0a0a67fc44b4,Claude 4.5 Haiku (Reasoning),37.1,32.6,83.7,0.76,0.672,0.097,0.615,0.433,,,1.0,5.0,2.0,155.639,13.428,,,,,
FMR-0051,2025-12-02,2025,2025-12,2025Q4,37,Mistral 3,Mistral AI,France,private_non_us_company,Mistral 3,Mistral 3,1,single_model_event,Mistral,3,text_llm,text_llm,0,1,0,0,1,0,1,0,Tier 2,medium,direct_competitor,,1,1,0,4928e950-7f37-4475-b0dc-c5bad781a321,Mistral Large 3,Mistral,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,4928e950-7f37-4475-b0dc-c5bad781a321,Mistral Large 3,22.8,22.7,38.0,0.807,0.68,0.041,0.465,0.362,,,0.5,1.5,0.75,56.317,0.594,,,,,
FMR-0052,2025-12-09,2025,2025-12,2025Q4,37,Devstral 2,Mistral AI,France,private_non_us_company,Devstral 2,Devstral 2,1,single_model_event,Devstral,2,coding_llm,coding_llm,0,1,0,0,1,0,1,0,Tier 2,medium,direct_competitor,,1,1,0,09f43999-b67b-4c1b-b050-44df41ed7e62,Devstral 2,Mistral,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,09f43999-b67b-4c1b-b050-44df41ed7e62,Devstral 2,22.0,23.7,36.7,0.762,0.594,0.036,0.448,0.331,,,0.0,0.0,0.0,77.21,0.711,,,,,
FMR-0053,2025-12-18,2025,2025-12,2025Q4,37,Z-Image-Turbo,Alibaba,China,public_non_us_company,Z-Image-Turbo,Z-Image-Turbo,1,single_model_event,Z-Image-Turbo,,image_generation,image_generation,0,0,0,0,0,1,1,1,Tier 2,high,direct_competitor,,1,0,1,d48735c9-9f0f-45b6-ad45-cc03eec252c8,Z-Image Turbo,Alibaba,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,d48735c9-9f0f-45b6-ad45-cc03eec252c8,Z-Image Turbo,,,,,,,,,,,,,,,,1110.0,43.0,-1.0,5181.0,15.0
FMR-0054,2025-12-18,2025,2025-12,2025Q4,37,GPT-5.2,OpenAI,United States,private_us_company,GPT-5.2,GPT-5.2,1,single_model_event,GPT,5.2,text_llm,text_llm,0,1,0,0,1,0,0,0,Tier 1,high,strategic_partner,MSFT;NVDA,1,1,0,498862c3-f9ac-49d2-852f-16a02bb0c38f,GPT-5.2 (xhigh),OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,498862c3-f9ac-49d2-852f-16a02bb0c38f,GPT-5.2 (xhigh),51.3,48.7,99.0,0.874,0.903,0.354,0.889,0.521,,,1.75,14.0,4.813,74.667,61.275,,,,,
FMR-0055,2025-12-31,2025,2025-12,2025Q4,37,Qwen-Image-2512,Alibaba,China,public_non_us_company,Qwen-Image-2512,Qwen-Image-2512,1,single_model_event,Qwen,Image-2512,image_generation,image_generation,0,0,0,0,0,1,1,1,Tier 2,high,direct_competitor,,1,0,1,6cb40a9f-7823-4667-870f-19619afc10ea,Qwen Image Max 2512,Alibaba,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,6cb40a9f-7823-4667-870f-19619afc10ea,Qwen Image Max 2512,,,,,,,,,,,,,,,,1161.0,19.0,-1.0,3511.0,14.0
FMR-0056,2026-02-05,2026,2026-02,2026Q1,39,Claude Opus 4.6,Anthropic,United States,private_us_company,Claude Opus 4.6,Claude Opus 4.6,1,single_model_event,Claude,Opus 4.6,reasoning_llm,reasoning_llm,0,1,0,0,0,0,0,0,Tier 2,high,major_investor,AMZN;GOOGL,1,1,0,53c98840-47af-49aa-94e6-469fb17e9a1b,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,53c98840-47af-49aa-94e6-469fb17e9a1b,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",53.0,48.1,,,0.896,0.367,,0.519,,,5.0,25.0,10.0,59.959,13.612,,,,,
FMR-0057,2026-02-12,2026,2026-02,2026Q1,39,GPT-5.3-Codex,OpenAI,United States,private_us_company,GPT-5.3-Codex,GPT-5.3-Codex,1,single_model_event,GPT,5.3-Codex,coding_llm,coding_llm,0,1,0,0,1,0,0,0,Tier 1,high,strategic_partner,MSFT;NVDA,1,1,0,59b5b14b-5365-4ee7-824a-18a8e6309644,GPT-5.3 Codex (xhigh),OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,59b5b14b-5365-4ee7-824a-18a8e6309644,GPT-5.3 Codex (xhigh),53.6,53.1,,,0.915,0.399,,0.532,,,1.75,14.0,4.813,81.39,53.271,,,,,
FMR-0058,2026-02-16,2026,2026-02,2026Q1,39,Claude Sonnet 4.6,Anthropic,United States,private_us_company,Claude Sonnet 4.6,Claude Sonnet 4.6,1,single_model_event,Claude,Sonnet 4.6,reasoning_llm,reasoning_llm,0,1,0,0,0,0,0,0,Tier 2,high,major_investor,AMZN;GOOGL,1,1,0,df8d14e0-3997-4e4d-b4ad-9c047acc9c69,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,df8d14e0-3997-4e4d-b4ad-9c047acc9c69,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",51.7,50.9,,,0.875,0.3,,0.468,,,3.0,15.0,6.0,67.635,71.862,,,,,
FMR-0059,2026-02-26,2026,2026-02,2026Q1,39,Nano Banana 2,Google,United States,listed_us_company,Nano Banana 2,Nano Banana 2,1,single_model_event,Nano Banana,2,image_generation,image_generation,0,0,0,0,0,1,0,0,Tier 2,high,publisher,GOOGL,0,0,1,3180162e-693d-487d-adbb-721f859f768d,Nano Banana 2 (Gemini 3.1 Flash Image Preview),Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,3180162e-693d-487d-adbb-721f859f768d,Nano Banana 2 (Gemini 3.1 Flash Image Preview),,,,,,,,,,,,,,,,1228.0,5.0,-1.0,5684.0,15.0
FMR-0060,2026-03-17,2026,2026-03,2026Q1,40,GPT-5.4 family,OpenAI,United States,private_us_company,GPT-5.4 mini; GPT-5.4; GPT-5.4 nano,GPT-5.4,3,GPT-5.4 family,GPT,5.4 mini; 5.4; 5.4 nano,reasoning_llm,reasoning_llm,0,1,0,0,0,0,0,0,Tier 1,high,strategic_partner,MSFT;NVDA,1,1,0,a89c4b28-2d8c-456e-88ea-255fb51fd2b6,GPT-5.4 (xhigh),OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,392063ba-c3b5-47e8-ba67-a7b0b34f6824; a89c4b28-2d8c-456e-88ea-255fb51fd2b6; d4fc3f33-f2b0-4da1-88ee-f1f82bd4de31,GPT-5.4 mini (medium); GPT-5.4 (xhigh); GPT-5.4 nano (xhigh),56.8,57.3,,,0.92,0.416,,0.566,,,2.5,15.0,5.625,81.043,170.499,,,,,
