firm,firm_ticker,model_company,model,event_date,owner,investor,cloud,business_upstream,real_upstream,business_downstream,real_downstream,competitor,notes
Experian,EXPN LN,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Consumer credit data/analytics firm; positioned to leverage AI for credit modeli); No identified relationship
Zscaler,ZS,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Cloud security/SASE platform; positioned to integrate AI into cloud security and); No identified relationship
CyberArk,CYBR,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Identity security/privileged access management; positioned to integrate AI into ); No identified relationship
StoneCo,STNE,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
UiPath,PATH,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise automation/RPA software; integrates AI/LLM capabilities into business); No identified relationship
Rakuten Group,4755 JP,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (E-commerce/fintech/digital services conglomerate; positioned to leverage AI acro); No identified relationship"
HPE,HPE,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise IT infrastructure/solutions; HPE GreenLake AI, positioned to deploy A); No identified relationship"
Temenos,TEMN SW,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Banking software platform; positioned to integrate AI into financial services so); No identified relationship
Pony.ai,PONY,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
Twilio,TWLO,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Cloud communications/SaaS platform; positioned to integrate AI into customer eng); No identified relationship
Genpact,G,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Business process/IT services firm; positioned to deploy and integrate AI capabil); No identified relationship
DXC Technology,DXC,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (IT services/solutions firm; positioned to deploy AI infrastructure and solutions); No identified relationship
Ambarella,AMBA,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
Okta,OKTA,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Identity/access management SaaS; positioned to integrate AI into enterprise iden); No identified relationship
WeRock,WRD,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
Pegasystems,PEGA,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise software/CRM platform; Pega AI integrates generative AI into business); No identified relationship
Toshiba,6588 JP,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
Wolters Kluwer,WKL NA,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Professional information/software firm; integrates AI into legal, tax, health, a); No identified relationship"
SoundHound AI,SOUN,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Voice AI/conversational intelligence firm; directly leverages generative AI and ); No identified relationship
研华科技,2395 TT,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
CCC Intelligent Solutions,CCC,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Insurance claims software/SaaS; AI integration into insurance automation workflo); No identified relationship
宏基,2353 TT,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
Sony,6758 JP,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
Snap,SNAP,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a com; business_downstream=1 (Social media/camera platform; My AI chatbot powered by LLMs, Lens AI uses genera); No identified relationship"
Zebra Technologies,ZBRA,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
NICE,NICE,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Customer service automation software; CXone AI platform integrates conversationa); No identified relationship
Amplifon,AMP IM,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
Super Micro,SMCI,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
Quantum Computing,QUBT,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,No identified relationship
Wix,WIX,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Website builder/SaaS platform; Wix AI website builder leverages generative AI fo); No identified relationship
The Trade Desk,TTD,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Programmatic advertising/demand-side platform; AI-driven bidding, positioned to ); No identified relationship"
C3.ai,AI,Google,Gemini-2.0-Flash-Thinking,2024-12-11,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise AI software firm; provides AI application platform directly leveragin); No identified relationship
Samsung Electronics,005930 KS,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Alphabet,GOOGL,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Google Cloud AI services, Google Workspace AI features, search AI — positioned a); competitor=1 (high)"
Micron Technology,MU,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
AMD,AMD,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
SK Hynix,000660 KS,OpenAI,o1,2024-12-17,0,0,0,1,1,0,0,0,upstream=1 (low)
Alibaba,BABA,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Alibaba Cloud AI, e-commerce AI features — positioned as both competitor (Qwen) ); competitor=1 (high)"
TSMC,TSM,OpenAI,o1,2024-12-17,0,0,0,1,1,0,0,0,business_upstream=1 by researcher convention (TSMC is universal upstream); upstream=1 (medium)
Tesla,TSLA,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Apple,AAPL,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Apple Intelligence, Siri, on-device AI features — positioned as both competitor ); competitor=1 (medium)"
Broadcom,AVGO,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Cisco,CSCO,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Networking/IT infrastructure firm; AI networking, positioned to supply and deplo); No identified relationship"
Tencent,700 HK,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Tencent Cloud AI, WeChat AI features — positioned as both competitor (Hunyuan) a); competitor=1 (high)"
Nvidia,NVDA,OpenAI,o1,2024-12-17,0,0,0,1,1,0,0,0,business_upstream=1 by researcher convention (Nvidia is universal upstream); upstream=1 (high); competitor=1 (medium)
Amazon,AMZN,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (AWS AI/ML services, Amazon.com AI features, Alexa — positioned as both competito); competitor=1 (high)"
Palantir,PLTR,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Data analytics/AI platform; AIP (Artificial Intelligence Platform) integrates LL); No identified relationship
IBM,IBM,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise IT/consulting/software firm; watsonx AI platform, major AI consulting); competitor=1 (medium)"
Microsoft,MSFT,OpenAI,o1,2024-12-17,0,1,1,0,0,1,1,1,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise software/productivity/cloud firm; Azure OpenAI Service, Copilot, Offi); investor=1 (high); cloud=1 (high); downstream=1 (high); competitor=1 (medium)"
Meta,META,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Social media platform; AI-powered content recommendation, advertising, AI assist); competitor=1 (high)"
Siemens,SIE GR,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Salesforce,CRM,OpenAI,o1,2024-12-17,0,0,0,0,0,1,1,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise CRM/software firm; Einstein GPT integrates LLM capabilities into CRM ); downstream=1 (high)
Netflix,NFLX,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Streaming entertainment platform; AI-driven content recommendation, positioned t); No identified relationship"
Oracle,ORCL,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise software/cloud firm; OCI Generative AI hosts and serves AI models, po); downstream=1 (medium); competitor=1 (medium)"
Intel,INTC,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Accenture,ACN,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Global IT services/consulting firm; major AI consulting and deployment partner, ); No identified relationship"
Uber,UBER,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Ridesharing/delivery platform; uses AI/ML for matching, routing, pricing — posit); No identified relationship"
Qualcomm,QCOM,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Shopify,SHOP,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (E-commerce platform; Shopify Magic integrates generative AI for merchant tools, ); No identified relationship"
AppLovin,APP,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Mobile advertising/marketing platform; AI-driven ad targeting, positioned as dow); No identified relationship"
ServiceNow,NOW,OpenAI,o1,2024-12-17,0,0,0,0,0,1,1,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise workflow automation platform; integrates AI/LLM capabilities into Now); downstream=1 (medium)
Adobe,ADBE,OpenAI,o1,2024-12-17,0,0,0,0,0,1,1,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Creative software firm; Adobe Firefly integrates generative AI into Creative Clo); downstream=1 (medium)
Synopsys,SNPS,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Electronic design automation (EDA) software; AI-driven chip design and verificat); No identified relationship"
Cadence,CDNS,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Electronic design automation (EDA) software; AI-driven chip design tools, positi); No identified relationship"
Hut 8 Mining,HUT,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Seagate,STX,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Marvell,MRVL,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Snowflake,SNOW,OpenAI,o1,2024-12-17,0,0,0,0,0,1,1,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Cloud data platform/analytics; integrates AI/LLM capabilities into Data Cloud th); downstream=1 (medium)
Meituan,3690 HK,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Infineon,IFX GR,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Fortinet,FTNT,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Cybersecurity/firewall firm; FortiAI integrates AI into threat detection and sec); No identified relationship
Mitsubishi Electric,5803 JP,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
NXP Semiconductors,NXPI,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
创见资讯,3443 TT,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Fujitsu,6702 JP,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Global IT services/hardware firm; Fujitsu Kozuchi AI platform, positioned to dep); No identified relationship"
Thomson Reuters,TRI,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Professional information/content firm; integrates AI into legal, tax, and news p); No identified relationship"
NEC,6701 JP,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (IT services/technology firm; positioned to integrate AI into enterprise and gove); No identified relationship
Baidu,BIDU,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Baidu Cloud AI, search AI features — positioned as both competitor (ERNIE) and d); competitor=1 (high)"
Datadog,DDOG,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Cloud monitoring/observability platform; integrates AI for anomaly detection, in); No identified relationship"
Panasonic,6954 JP,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Workday,WDAY,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise HR/finance cloud software; positioned to embed AI capabilities into e); No identified relationship
Ericsson,ERIC,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
CareCloud,CRWV,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Teradata,TDC,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Enterprise data analytics/data warehousing; positioned to integrate AI/ML into a); No identified relationship
GE HealthCare,GEHC,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Tietoevry,TIETO FH,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Nordic IT services/consulting firm; positioned to deploy AI solutions for enterp); No identified relationship
Experian,EXPN LN,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Consumer credit data/analytics firm; positioned to leverage AI for credit modeli); No identified relationship
Zscaler,ZS,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Cloud security/SASE platform; positioned to integrate AI into cloud security and); No identified relationship
CyberArk,CYBR,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Identity security/privileged access management; positioned to integrate AI into ); No identified relationship
StoneCo,STNE,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
UiPath,PATH,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise automation/RPA software; integrates AI/LLM capabilities into business); No identified relationship
Rakuten Group,4755 JP,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (E-commerce/fintech/digital services conglomerate; positioned to leverage AI acro); No identified relationship"
HPE,HPE,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise IT infrastructure/solutions; HPE GreenLake AI, positioned to deploy A); No identified relationship"
Temenos,TEMN SW,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Banking software platform; positioned to integrate AI into financial services so); No identified relationship
Pony.ai,PONY,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Twilio,TWLO,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Cloud communications/SaaS platform; positioned to integrate AI into customer eng); No identified relationship
Genpact,G,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Business process/IT services firm; positioned to deploy and integrate AI capabil); No identified relationship
DXC Technology,DXC,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (IT services/solutions firm; positioned to deploy AI infrastructure and solutions); No identified relationship
Ambarella,AMBA,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Okta,OKTA,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Identity/access management SaaS; positioned to integrate AI into enterprise iden); No identified relationship
WeRock,WRD,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Pegasystems,PEGA,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise software/CRM platform; Pega AI integrates generative AI into business); No identified relationship
Toshiba,6588 JP,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Wolters Kluwer,WKL NA,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Professional information/software firm; integrates AI into legal, tax, health, a); No identified relationship"
SoundHound AI,SOUN,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Voice AI/conversational intelligence firm; directly leverages generative AI and ); No identified relationship
研华科技,2395 TT,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
CCC Intelligent Solutions,CCC,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Insurance claims software/SaaS; AI integration into insurance automation workflo); No identified relationship
宏基,2353 TT,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Sony,6758 JP,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Snap,SNAP,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a com; business_downstream=1 (Social media/camera platform; My AI chatbot powered by LLMs, Lens AI uses genera); No identified relationship"
Zebra Technologies,ZBRA,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
NICE,NICE,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Customer service automation software; CXone AI platform integrates conversationa); No identified relationship
Amplifon,AMP IM,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Super Micro,SMCI,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Quantum Computing,QUBT,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Wix,WIX,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Website builder/SaaS platform; Wix AI website builder leverages generative AI fo); No identified relationship
The Trade Desk,TTD,OpenAI,o1,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Programmatic advertising/demand-side platform; AI-driven bidding, positioned to ); No identified relationship"
C3.ai,AI,OpenAI,o1,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise AI software firm; provides AI application platform directly leveragin); No identified relationship
Samsung Electronics,005930 KS,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Alphabet,GOOGL,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Google Cloud AI services, Google Workspace AI features, search AI — positioned a); competitor=1 (high)"
Micron Technology,MU,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
AMD,AMD,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
SK Hynix,000660 KS,OpenAI,o1 Pro,2024-12-17,0,0,0,1,1,0,0,0,upstream=1 (low)
Alibaba,BABA,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Alibaba Cloud AI, e-commerce AI features — positioned as both competitor (Qwen) ); competitor=1 (high)"
TSMC,TSM,OpenAI,o1 Pro,2024-12-17,0,0,0,1,1,0,0,0,business_upstream=1 by researcher convention (TSMC is universal upstream); upstream=1 (medium)
Tesla,TSLA,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Apple,AAPL,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Apple Intelligence, Siri, on-device AI features — positioned as both competitor ); competitor=1 (medium)"
Broadcom,AVGO,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,0,No identified relationship
Cisco,CSCO,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Networking/IT infrastructure firm; AI networking, positioned to supply and deplo); No identified relationship"
Tencent,700 HK,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Tencent Cloud AI, WeChat AI features — positioned as both competitor (Hunyuan) a); competitor=1 (high)"
Nvidia,NVDA,OpenAI,o1 Pro,2024-12-17,0,0,0,1,1,0,0,0,business_upstream=1 by researcher convention (Nvidia is universal upstream); upstream=1 (high); competitor=1 (medium)
Amazon,AMZN,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (AWS AI/ML services, Amazon.com AI features, Alexa — positioned as both competito); competitor=1 (high)"
Palantir,PLTR,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Data analytics/AI platform; AIP (Artificial Intelligence Platform) integrates LL); No identified relationship
IBM,IBM,OpenAI,o1 Pro,2024-12-17,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise IT/consulting/software firm; watsonx AI platform, major AI consulting); competitor=1 (medium)"
